annotation_lbl,category,num_distinct_lbls
attack_nn_44_50_123_130,3,2
attack_nn_44_50_13_19,4,2
attack_nn_44_50_14_20,4,2
attack_nn_44_50_69_75,3,2
attack_nn_49_55_58_64,3,3
attack_nn_4_10_123_130,3,5
attack_nn_4_10_125_131,3,2
attack_nn_4_10_13_19,3,4
attack_nn_4_10_176_182,3,2
attack_nn_4_10_38_44,3,5
attack_nn_4_11_176_182,4,2
attack_nn_50_56_38_44,3,3
attack_nn_50_57_123_130,3,4
attack_nn_50_57_131_137,3,3
attack_nn_51_57_176_182,3,2
attack_nn_51_57_31_37,3,3
attack_nn_51_57_4_10,3,3
attack_nn_51_57_59_65,3,2
attack_nn_51_58_176_182,3,2
attack_nn_52_58_176_182,3,3
attack_nn_52_58_54_60,4,2
attack_nn_53_60_123_130,3,2
attack_nn_54_60_131_137,3,3
attack_nn_55_61_123_130,3,2
attack_nn_55_61_150_156,4,2
attack_nn_55_61_4_10,3,2
attack_nn_55_61_53_60,3,2
attack_nn_55_62_31_37,3,2
attack_nn_563_569_113_119,2,2
attack_nn_563_569_131_137,3,2
attack_nn_563_569_184_191,4,2
attack_nn_563_569_68_74,3,2
attack_nn_563_569_81_88,2,4
attack_nn_56_62_123_130,4,2
attack_nn_56_62_158_164,3,2
attack_nn_57_63_176_182,3,2
attack_nn_57_63_38_44,4,2
attack_nn_57_64_176_182,2,2
attack_nn_57_64_69_75,3,3
attack_nn_58_64_150_156,4,2
attack_nn_59_65_123_130,3,2
attack_nn_60_66_158_164,3,4
attack_nn_60_66_176_182,3,4
attack_nn_60_66_38_44,4,2
attack_nn_61_67_102_108,3,2
attack_nn_61_67_107_113,2,2
attack_nn_61_67_10_16,2,2
attack_nn_61_67_13_19,3,2
attack_nn_61_67_14_20,4,2
attack_nn_61_67_176_182,3,4
attack_nn_61_67_205_212,3,2
attack_nn_61_67_38_44,3,2
attack_nn_61_67_44_50,3,2
attack_nn_61_67_66_72,3,2
attack_nn_61_67_97_104,4,2
attack_nn_62_68_35_41,4,2
attack_nn_63_70_123_130,3,2
attack_nn_65_71_54_60,3,2
attack_nn_66_72_10_16,3,3
attack_nn_66_72_123_130,3,2
attack_nn_66_72_131_137,3,2
attack_nn_66_72_13_19,4,2
attack_nn_66_72_14_20,3,2
attack_nn_66_72_176_182,2,2
attack_nn_66_72_44_50,4,2
attack_nn_66_72_53_60,2,2
attack_nn_66_72_55_62,4,2
attack_nn_66_73_38_44,3,2
attack_nn_67_73_176_182,3,3
attack_nn_68_74_158_164,3,2
attack_nn_68_74_176_182,4,3
attack_nn_68_74_184_191,3,3
attack_nn_69_75_131_137,3,5
attack_nn_69_75_150_156,3,2
attack_nn_69_75_176_182,3,4
attack_nn_69_75_184_191,3,2
attack_nn_69_75_212_218,3,3
attack_nn_71_77_118_125,3,3
attack_nn_71_77_123_130,3,7
attack_nn_71_77_13_19,3,2
attack_nn_71_77_35_41,3,3
attack_nn_71_78_176_182,3,3
attack_nn_73_79_123_130,3,3
attack_nn_75_82_131_137,3,2
attack_nn_75_82_176_182,3,3
attack_nn_77_83_123_130,3,2
attack_nn_77_83_58_64,4,2
attack_nn_78_84_123_130,3,2
attack_nn_78_84_161_167,4,2
attack_nn_78_84_311_318,2,2
attack_nn_79_85_123_130,3,2
attack_nn_79_85_13_19,3,3
attack_nn_80_86_69_75,3,3
attack_nn_81_87_131_137,3,4
attack_nn_81_87_176_182,4,2
attack_nn_81_88_13_19,3,2
attack_nn_81_88_158_164,2,2
attack_nn_81_88_31_37,4,2
attack_nn_81_88_58_64,3,2
attack_nn_83_89_176_182,3,2
attack_nn_84_90_176_182,4,2
attack_nn_85_92_123_130,3,2
attack_nn_88_94_176_182,4,2
attack_nn_88_94_54_60,3,2
attack_nn_8_14_123_130,3,2
attack_nn_8_14_131_137,3,3
attack_nn_92_98_176_182,3,2
attack_nn_92_98_4_10,3,2
attack_nn_95_101_176_182,3,4
attack_nn_95_101_4_10,3,2
attack_nn_97_103_123_130,3,2
attack_nn_97_103_563_569,4,2
attack_nn_97_104_212_218,2,2
attack_nn_97_104_31_37,4,4
attack_nn_97_104_81_88,4,2
attack_nn_99_106_69_75,3,2
ball_nn_0_4_165_169,1,3
ball_nn_0_4_22_27,3,2
ball_nn_0_5_26_30,3,2
ball_nn_0_5_294_299,3,2
ball_nn_0_5_69_73,4,2
ball_nn_102_106_294_299,2,2
ball_nn_103_107_69_73,3,2
ball_nn_103_107_73_77,2,4
ball_nn_104_108_6_10,4,3
ball_nn_104_109_10_14,3,4
ball_nn_104_109_14_18,3,2
ball_nn_104_109_151_155,3,2
ball_nn_104_109_169_173,3,2
ball_nn_104_109_205_209,1,2
ball_nn_104_109_294_299,4,2
ball_nn_104_109_44_48,2,2
ball_nn_104_109_77_81,3,2
ball_nn_104_109_9_14,4,2
ball_nn_105_109_15_19,4,2
ball_nn_105_110_32_37,4,2
ball_nn_105_110_34_39,4,2
ball_nn_105_110_73_77,1,2
ball_nn_105_110_9_14,4,2
ball_nn_106_110_46_51,3,2
ball_nn_106_110_48_52,1,2
ball_nn_109_113_46_50,4,2
ball_nn_109_113_70_74,1,2
ball_nn_112_116_73_77,1,2
ball_nn_113_117_28_32,4,3
ball_nn_113_118_205_209,4,3
ball_nn_116_120_118_123,4,2
ball_nn_116_120_14_18,3,2
ball_nn_116_120_165_169,1,3
ball_nn_116_120_198_202,4,2
ball_nn_116_120_232_237,3,2
ball_nn_116_120_28_32,2,2
ball_nn_116_120_33_37,2,2
ball_nn_116_120_34_39,2,2
ball_nn_116_120_44_48,2,2
ball_nn_116_120_74_78,4,2
ball_nn_116_120_9_14,2,2
ball_nn_117_121_73_77,0,2
ball_nn_117_121_7_12,0,2
ball_nn_118_123_14_18,3,2
ball_nn_118_123_192_196,2,2
ball_nn_118_123_292_296,4,2
ball_nn_118_123_34_39,3,3
ball_nn_118_123_44_48,2,2
ball_nn_118_123_74_78,4,2
ball_nn_118_123_90_94,3,2
ball_nn_118_123_9_14,2,2
ball_nn_119_124_28_32,3,2
ball_nn_119_124_294_299,3,3
ball_nn_119_124_32_36,4,3
ball_nn_11_15_7_12,4,2
ball_nn_122_127_205_209,1,2
ball_nn_124_128_205_209,1,2
ball_nn_124_128_22_27,4,2
ball_nn_126_130_205_209,4,2
ball_nn_128_132_165_169,1,4
ball_nn_12_16_105_110,2,2
ball_nn_12_16_22_26,4,3
ball_nn_12_16_22_27,3,3
ball_nn_12_16_24_28,1,4
ball_nn_132_136_105_110,1,2
ball_nn_132_136_294_299,4,5
ball_nn_132_136_51_55,1,3
ball_nn_135_139_294_299,1,2
ball_nn_136_140_109_113,4,2
ball_nn_136_140_73_77,1,2
ball_nn_13_17_15_19,3,3
ball_nn_13_17_22_27,4,2
ball_nn_13_17_73_77,1,2
ball_nn_13_18_205_209,1,2
ball_nn_13_18_46_51,3,2
ball_nn_13_18_73_77,2,2
ball_nn_140_144_14_18,3,2
ball_nn_140_144_22_27,4,5
ball_nn_140_144_45_50,4,3
ball_nn_140_144_73_77,4,2
ball_nn_141_145_105_110,2,2
ball_nn_141_145_46_51,2,2
ball_nn_141_145_73_77,3,6
ball_nn_14_18_104_108,3,3
ball_nn_14_18_105_110,3,2
ball_nn_14_18_153_158,3,2
ball_nn_14_18_192_196,2,2
ball_nn_14_18_232_237,3,2
ball_nn_14_18_32_37,2,2
ball_nn_14_18_34_39,2,2
ball_nn_14_18_60_65,3,2
ball_nn_14_18_8_12,3,2
ball_nn_14_18_9_14,2,2
ball_nn_14_19_73_77,1,2
ball_nn_151_155_205_209,1,2
ball_nn_151_155_6_10,4,2
ball_nn_151_155_91_95,1,2
ball_nn_152_157_73_77,4,2
ball_nn_153_158_105_110,3,2
ball_nn_153_158_118_123,2,2
ball_nn_153_158_173_178,1,2
ball_nn_153_158_192_196,2,2
ball_nn_153_158_232_237,2,2
ball_nn_153_158_90_94,2,2
ball_nn_153_158_9_14,3,2
ball_nn_15_19_104_109,3,3
ball_nn_15_19_165_169,1,2
ball_nn_15_19_22_27,3,4
ball_nn_15_19_73_77,4,3
ball_nn_15_19_7_12,3,3
ball_nn_163_167_165_169,1,2
ball_nn_163_167_187_191,3,3
ball_nn_165_169_46_50,1,2
ball_nn_166_170_140_144,4,2
ball_nn_166_170_69_73,3,3
ball_nn_166_171_205_209,1,2
ball_nn_166_171_21_26,3,5
ball_nn_169_173_14_18,3,2
ball_nn_169_173_205_209,1,3
ball_nn_169_173_292_296,4,2
ball_nn_169_173_6_10,4,3
ball_nn_169_173_9_14,2,2
ball_nn_169_174_24_29,3,2
ball_nn_169_174_73_77,1,4
ball_nn_173_178_205_209,4,3
ball_nn_173_178_55_59,3,2
ball_nn_173_178_69_73,4,2
ball_nn_173_178_6_10,4,2
ball_nn_174_178_11_15,4,2
ball_nn_174_178_294_299,2,3
ball_nn_174_179_105_110,1,2
ball_nn_174_179_232_237,1,2
ball_nn_174_179_61_65,1,2
ball_nn_174_179_6_10,1,2
ball_nn_174_179_73_77,4,2
ball_nn_182_187_105_110,2,2
ball_nn_182_187_15_19,3,4
ball_nn_187_191_109_113,1,2
ball_nn_187_191_173_178,3,2
ball_nn_187_191_205_209,4,2
ball_nn_187_191_294_299,4,2
ball_nn_187_191_61_65,1,2
ball_nn_18_22_15_19,3,4
ball_nn_192_196_46_51,3,2
ball_nn_192_196_60_65,3,2
ball_nn_192_196_6_10,3,3
ball_nn_192_196_9_14,2,2
ball_nn_193_197_14_18,3,2
ball_nn_193_197_165_169,1,3
ball_nn_193_197_192_196,3,2
ball_nn_193_197_24_29,4,2
ball_nn_193_197_292_296,4,2
ball_nn_193_197_44_48,3,2
ball_nn_193_197_90_94,3,2
ball_nn_193_197_9_14,2,2
ball_nn_195_199_165_169,1,2
ball_nn_198_202_14_18,3,2
ball_nn_198_202_153_158,2,2
ball_nn_198_202_192_196,3,2
ball_nn_198_202_193_197,3,2
ball_nn_198_202_292_296,4,2
ball_nn_198_202_33_37,3,2
ball_nn_198_202_44_48,3,2
ball_nn_198_202_73_77,1,2
ball_nn_198_202_90_94,3,2
ball_nn_198_202_9_14,2,2
ball_nn_200_204_165_169,1,2
ball_nn_200_204_28_32,3,3
ball_nn_201_206_15_19,3,2
ball_nn_201_206_73_77,3,3
ball_nn_205_209_73_77,4,2
ball_nn_208_212_294_299,1,2
ball_nn_208_212_7_12,3,2
ball_nn_20_24_22_27,3,2
ball_nn_211_215_205_209,1,2
ball_nn_211_215_22_26,1,2
ball_nn_211_215_46_50,4,4
ball_nn_21_25_205_209,1,2
ball_nn_21_25_69_73,3,2
ball_nn_21_26_10_14,3,2
ball_nn_228_232_10_14,3,2
ball_nn_228_232_45_50,2,2
ball_nn_228_232_77_81,4,2
ball_nn_228_232_91_95,2,2
ball_nn_22_26_105_110,3,4
ball_nn_22_26_14_18,3,2
ball_nn_22_26_169_173,3,2
ball_nn_22_26_192_196,3,2
ball_nn_22_26_24_28,2,2
ball_nn_22_26_292_296,3,2
ball_nn_22_26_33_37,2,2
ball_nn_22_26_34_39,1,2
ball_nn_22_26_44_48,3,2
ball_nn_22_26_6_10,3,2
ball_nn_22_26_73_77,4,6
ball_nn_22_26_9_14,2,2
ball_nn_22_27_15_19,1,2
ball_nn_22_27_294_299,1,2
ball_nn_22_27_7_12,4,2
ball_nn_232_237_105_110,4,2
ball_nn_232_237_34_39,2,2
ball_nn_232_237_69_73,1,2
ball_nn_232_237_73_77,1,3
ball_nn_232_237_92_96,2,3
ball_nn_232_237_9_14,3,2
ball_nn_233_238_205_209,1,3
ball_nn_233_238_63_68,3,2
ball_nn_233_238_7_12,4,2
ball_nn_23_27_15_19,3,2
ball_nn_23_27_294_299,4,3
ball_nn_24_28_165_169,1,2
ball_nn_24_28_192_196,2,3
ball_nn_24_28_205_209,4,2
ball_nn_24_28_211_215,3,2
ball_nn_24_28_34_39,3,3
ball_nn_24_28_46_50,3,2
ball_nn_24_28_4_8,4,2
ball_nn_257_261_21_26,1,2
ball_nn_25_29_104_108,3,2
ball_nn_25_29_205_209,1,2
ball_nn_25_29_28_32,3,4
ball_nn_25_29_68_72,3,3
ball_nn_26_30_22_27,4,3
ball_nn_26_30_294_299,2,2
ball_nn_272_276_10_14,4,3
ball_nn_272_276_205_209,1,3
ball_nn_27_32_165_169,1,2
ball_nn_292_296_105_110,2,2
ball_nn_292_296_14_18,3,2
ball_nn_292_296_153_158,2,2
ball_nn_292_296_192_196,2,2
ball_nn_292_296_232_237,2,2
ball_nn_292_296_28_32,3,3
ball_nn_292_296_32_37,2,2
ball_nn_292_296_33_37,3,2
ball_nn_292_296_34_39,2,2
ball_nn_292_296_44_48,2,2
ball_nn_292_296_46_51,3,2
ball_nn_292_296_60_65,2,2
ball_nn_292_296_74_78,4,2
ball_nn_292_296_8_12,3,2
ball_nn_292_296_90_94,3,2
ball_nn_292_296_9_14,2,2
ball_nn_294_299_109_113,1,2
ball_nn_294_299_15_19,1,2
ball_nn_294_299_25_29,1,2
ball_nn_29_33_173_178,1,2
ball_nn_29_33_294_299,1,2
ball_nn_305_310_165_169,1,2
ball_nn_309_313_22_27,3,2
ball_nn_309_313_73_77,4,3
ball_nn_31_35_15_19,3,2
ball_nn_31_35_294_299,1,2
ball_nn_31_36_28_32,1,2
ball_nn_31_36_294_299,3,3
ball_nn_32_36_28_32,4,2
ball_nn_32_36_40_44,1,2
ball_nn_32_36_6_10,4,3
ball_nn_32_37_165_169,1,3
ball_nn_32_37_232_237,4,2
ball_nn_32_37_46_51,2,2
ball_nn_32_37_48_52,1,2
ball_nn_32_37_67_71,2,2
ball_nn_32_37_73_77,2,4
ball_nn_32_37_9_14,4,2
ball_nn_33_37_105_110,2,2
ball_nn_33_37_14_18,4,2
ball_nn_33_37_153_158,3,2
ball_nn_33_37_192_196,3,2
ball_nn_33_37_205_209,1,4
ball_nn_33_37_232_237,3,2
ball_nn_33_37_24_29,3,3
ball_nn_33_37_28_32,4,3
ball_nn_33_37_31_36,1,2
ball_nn_33_37_32_37,2,2
ball_nn_33_37_34_39,3,2
ball_nn_33_37_46_50,1,2
ball_nn_33_37_46_51,2,2
ball_nn_33_37_63_68,2,2
ball_nn_33_37_67_71,3,3
ball_nn_33_37_74_78,3,2
ball_nn_33_37_9_14,2,2
ball_nn_34_38_165_169,4,2
ball_nn_34_38_46_50,1,2
ball_nn_34_39_205_209,1,3
ball_nn_34_39_21_26,3,2
ball_nn_34_39_232_237,4,2
ball_nn_34_39_28_32,3,2
ball_nn_34_39_67_71,3,2
ball_nn_34_39_8_12,2,2
ball_nn_34_39_92_96,2,2
ball_nn_34_39_9_14,4,2
ball_nn_36_40_46_50,3,3
ball_nn_36_41_205_209,1,2
ball_nn_36_41_22_27,3,3
ball_nn_37_41_10_14,1,2
ball_nn_37_41_294_299,4,2
ball_nn_38_42_10_14,4,3
ball_nn_38_42_165_169,1,2
ball_nn_40_44_165_169,4,2
ball_nn_40_44_294_299,4,3
ball_nn_40_44_73_77,1,4
ball_nn_40_45_69_73,1,2
ball_nn_41_45_165_169,1,3
ball_nn_41_45_21_26,4,2
ball_nn_41_45_46_50,3,2
ball_nn_41_45_63_68,4,2
ball_nn_41_45_73_77,1,3
ball_nn_42_46_205_209,1,2
ball_nn_44_48_105_110,2,2
ball_nn_44_48_109_113,4,2
ball_nn_44_48_14_18,3,2
ball_nn_44_48_153_158,2,2
ball_nn_44_48_165_169,1,2
ball_nn_44_48_192_196,4,2
ball_nn_44_48_211_215,2,2
ball_nn_44_48_232_237,2,2
ball_nn_44_48_28_32,3,3
ball_nn_44_48_32_37,2,2
ball_nn_44_48_33_37,3,2
ball_nn_44_48_34_39,2,2
ball_nn_44_48_46_51,3,2
ball_nn_44_48_60_65,3,2
ball_nn_44_48_72_77,2,2
ball_nn_44_48_74_78,3,2
ball_nn_44_48_9_14,2,2
ball_nn_45_49_10_14,3,2
ball_nn_45_49_294_299,1,2
ball_nn_45_49_69_73,3,3
ball_nn_45_49_95_100,3,2
ball_nn_45_50_198_202,1,2
ball_nn_45_50_205_209,4,3
ball_nn_45_50_28_32,2,2
ball_nn_46_50_294_299,1,3
ball_nn_46_50_69_73,3,2
ball_nn_46_51_104_108,3,2
ball_nn_46_51_205_209,1,2
ball_nn_46_51_34_39,3,3
ball_nn_46_51_9_14,2,2
ball_nn_47_51_126_130,1,2
ball_nn_48_52_109_113,1,2
ball_nn_48_52_10_14,4,2
ball_nn_48_52_294_299,4,5
ball_nn_48_52_95_99,4,2
ball_nn_49_53_109_113,4,3
ball_nn_49_53_10_14,3,2
ball_nn_49_53_294_299,2,2
ball_nn_4_8_104_108,1,3
ball_nn_4_8_109_113,3,2
ball_nn_4_8_113_118,4,2
ball_nn_4_8_165_169,1,2
ball_nn_4_8_205_209,4,5
ball_nn_4_8_38_42,3,3
ball_nn_4_8_45_50,4,2
ball_nn_4_8_6_10,4,3
ball_nn_4_8_91_95,4,2
ball_nn_51_55_165_169,1,2
ball_nn_51_55_7_12,3,5
ball_nn_53_57_28_32,3,3
ball_nn_53_57_73_77,1,2
ball_nn_542_546_294_299,1,2
ball_nn_55_59_165_169,1,2
ball_nn_55_59_24_29,3,4
ball_nn_55_59_70_74,1,3
ball_nn_56_60_28_32,3,2
ball_nn_56_60_73_77,1,2
ball_nn_59_63_73_77,4,2
ball_nn_60_64_165_169,1,2
ball_nn_60_64_73_77,4,2
ball_nn_60_65_205_209,1,2
ball_nn_60_65_67_71,2,2
ball_nn_60_65_9_14,4,2
ball_nn_61_65_294_299,1,2
ball_nn_61_65_73_77,4,3
ball_nn_61_66_69_73,3,3
ball_nn_62_67_165_169,1,4
ball_nn_62_67_46_50,3,2
ball_nn_63_67_109_113,4,2
ball_nn_63_67_15_19,4,2
ball_nn_63_67_205_209,1,2
ball_nn_63_67_294_299,1,2
ball_nn_63_67_67_71,3,2
ball_nn_63_67_6_10,3,2
ball_nn_63_68_73_77,4,3
ball_nn_644_648_15_19,1,3
ball_nn_644_648_63_67,1,2
ball_nn_64_69_165_169,1,3
ball_nn_64_69_22_27,4,4
ball_nn_65_69_10_14,1,3
ball_nn_65_69_294_299,4,2
ball_nn_65_69_97_101,4,2
ball_nn_66_70_73_77,1,2
ball_nn_67_71_165_169,1,2
ball_nn_67_71_169_173,4,3
ball_nn_67_71_205_209,1,3
ball_nn_67_71_6_10,3,2
ball_nn_68_72_192_196,2,2
ball_nn_69_73_15_19,4,2
ball_nn_69_73_205_209,1,2
ball_nn_69_73_22_27,3,2
ball_nn_69_73_73_77,4,3
ball_nn_6_10_294_299,1,2
ball_nn_6_10_32_36,3,3
ball_nn_70_74_10_14,1,2
ball_nn_70_74_165_169,4,4
ball_nn_70_74_166_171,3,2
ball_nn_70_74_205_209,4,3
ball_nn_70_74_24_28,4,2
ball_nn_70_74_24_29,4,3
ball_nn_70_74_294_299,4,3
ball_nn_72_76_73_77,1,2
ball_nn_72_77_6_10,3,2
ball_nn_72_77_73_77,3,2
ball_nn_73_77_151_155,3,2
ball_nn_73_77_165_169,4,4
ball_nn_73_77_205_209,4,3
ball_nn_73_77_294_299,1,3
ball_nn_73_77_60_64,3,2
ball_nn_73_77_73_77,1,2
ball_nn_73_77_77_81,1,2
ball_nn_73_77_7_12,4,6
ball_nn_73_77_95_99,1,3
ball_nn_74_78_14_18,3,2
ball_nn_74_78_153_158,2,2
