annotation_lbl,num_distinct_lbls,num_total_lbls,range
Bits_fic_2009_36638.txt-804-0_bits_mag_1845_555339.txt-10-10,1,1,0
Bits_fic_2009_36638.txt-804-0_bits_nf_1997_773513.txt-272-7,1,1,0
Bits_mag_1999_408736.txt-38-2_bit_fic_1818_7631.txt-303-79,1,1,0
Bits_mag_1999_408736.txt-38-2_bit_news_2006_604854.txt-83-37,1,1,0
Bits_news_1997_652831.txt-66-11_Bits_fic_1856_1281.txt-3685-0,1,1,0
Bits_news_1997_652831.txt-66-11_bit_fic_1848_7193.txt-9902-12,1,1,0
Bits_news_1997_652831.txt-66-11_bit_fic_1960_23770.txt-175-8,1,1,0
CHEF_mag_1995_395507.txt-44-0_chef_nf_1856_755595.txt-1039-23,1,1,0
Chef_fic_1819_8988.txt-1465-17_chef_fic_2005_32589.txt-87-26,1,1,0
Chef_fic_1819_8988.txt-1465-17_chef_fic_2008_36299.txt-94-1,1,1,0
Chef_fic_1819_8988.txt-1465-17_chef_nf_1991_774072.txt-1394-40,1,1,0
Chef_fic_1819_8988.txt-1529-15_chef_fic_1830_7266.txt-2405-21,1,1,0
Chef_fic_1819_8988.txt-1529-15_chef_news_2006_623955.txt-26-1,1,1,0
Chef_fic_1819_8988.txt-1529-15_chef_nf_1991_774072.txt-1176-5,1,1,0
Chef_fic_1819_8988.txt-1529-15_chefs_fic_1846_544.txt-2808-20,1,1,0
Chef_fic_1835_7133.txt-2558-11_Chef_fic_1819_8988.txt-1529-15,1,1,0
Chef_fic_1835_7133.txt-2558-11_chefs_fic_2004_32588.txt-86-3,1,1,0
Chef_fic_1844_3928.txt-1406-9_chef_mag_1836_554393.txt-176-6,1,1,0
Chef_fic_1844_3928.txt-1406-9_chef_nf_1838_747482.txt-609-7,1,1,0
Chef_fic_1844_3928.txt-1406-9_chefs_fic_1846_544.txt-2808-20,1,1,0
Chef_fic_1850_7304.txt-1678-37_chef_fic_1852_9031.txt-1189-25,1,1,0
Chef_fic_1995_39408.txt-349-5_chef_nf_1833_747531.txt-2651-12,1,1,0
Chef_fic_1995_39408.txt-349-5_chefs_fic_1846_544.txt-2808-20,1,1,0
Chef_fic_1995_39408.txt-349-5_chefs_nf_1977_774125.txt-986-6,1,1,0
Chef_mag_1827_553813.txt-223-51_chef_fic_1992_40323.txt-77-14,1,1,0
Chef_mag_1827_553813.txt-226-40_chef_nf_2009_774617.txt-77-3,1,1,0
Chef_mag_1997_428061.txt-153-6_Chef_fic_1844_3928.txt-1406-9,1,1,0
Chef_mag_1997_428061.txt-153-6_chef_news_1996_625831.txt-58-40,1,1,0
Chef_news_1977_732998.txt-23-0_Chef_fic_1819_8988.txt-1529-15,1,1,0
Chef_news_1977_732998.txt-23-0_chef_fic_2001_27380.txt-81-4,1,1,0
Chef_news_1977_732998.txt-23-0_chef_mag_1850_555680.txt-297-13,1,1,0
Chef_news_1977_732998.txt-23-0_chef_mag_1995_395507.txt-45-4,1,1,0
Chef_news_1977_732998.txt-23-0_chef_news_1995_631301.txt-29-11,1,1,0
Chef_news_1977_732998.txt-23-0_chef_nf_1991_774072.txt-1394-40,1,1,0
Chef_news_1977_732998.txt-23-0_chefs_mag_1982_432096.txt-101-5,1,1,0
Chef_news_1994_606769.txt-54-0_chef_fic_1848_1108.txt-1284-31,1,1,0
Chef_news_1994_606769.txt-54-0_chef_mag_1834_564675.txt-91-45,1,1,0
Chef_news_1994_606769.txt-54-0_chef_mag_2002_397228.txt-0-30,1,1,0
Chef_news_1994_606769.txt-54-0_chefs_mag_2004_414078.txt-72-10,1,1,0
Chef_news_2006_636092.txt-61-0_chef_mag_1986_432289.txt-29-3,1,1,0
Chef_news_2006_636092.txt-61-0_chefs_nf_1977_774125.txt-1398-15,1,1,0
Chef_nf_1843_748690.txt-2460-61_chefs_fic_2004_32588.txt-86-3,1,1,0
Chefs_news_1994_641063.txt-27-0_chef_news_1983_671296.txt-46-5,1,1,0
Chefs_nf_1977_774125.txt-767-0_chef_nf_1991_774072.txt-1394-40,1,1,0
Chefs_nf_1977_774125.txt-767-0_chefs_fic_1997_42337.txt-598-17,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_fic_1840_7164.txt-175-23,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_fic_1974_782013.txt-2184-9,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_fic_1985_10729.txt-5570-4,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_fic_1992_53574.txt-214-2,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_fic_1993_1040095.txt-1060-4,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_mag_1840_554815.txt-255-35,1,1,0
Circle_fic_2007_52477.txt-270-44_circled_nf_1844_747892.txt-1058-25,1,1,0
Circle_fic_2007_52477.txt-270-44_circling_fic_1840_8909.txt-155-63,1,1,0
Circle_fic_2007_52477.txt-270-44_circling_fic_1960_10398.txt-5951-5,1,1,0
Circle_fic_2007_52477.txt-270-44_circling_mag_1973_280788.txt-28-1,1,1,0
Circle_fic_2007_52477.txt-270-44_circling_nf_1989_774255.txt-8-51,1,1,0
Circle_mag_2001_370600.txt-17-23_circling_nf_1849_749269.txt-626-4,1,1,0
Circle_nf_2006_775510.txt-112-0_Circle_fic_2007_52477.txt-270-44,1,1,0
Circle_nf_2006_775510.txt-112-0_circle_nf_1827_747521.txt-163-33,1,1,0
Circle_nf_2006_775510.txt-112-0_circled_fic_1974_782013.txt-2184-9,1,1,0
Circle_nf_2006_775510.txt-112-0_circled_fic_1985_10729.txt-5570-4,1,1,0
Circle_nf_2006_775510.txt-112-0_circled_fic_2005_780526.txt-2258-12,1,1,0
Circle_nf_2006_775510.txt-112-0_circled_nf_2005_776573.txt-14-1,1,1,0
Circle_nf_2006_775510.txt-112-0_circling_nf_1849_749269.txt-626-4,1,1,0
Circled_fic_1811_8637.txt-163-27_Circling_fic_1848_7992.txt-315-50,1,1,0
Circled_fic_1811_8637.txt-163-27_circle_mag_1992_409433.txt-83-9,1,1,0
Circled_fic_1811_8637.txt-163-27_circling_nf_1849_749269.txt-626-4,1,1,0
Circled_fic_1835_8114.txt-434-8_Circling_fic_1849_2605.txt-638-26,1,1,0
Circled_fic_1835_8114.txt-434-8_circled_fic_1973_10569.txt-2907-9,1,1,0
Circled_fic_1835_8114.txt-434-8_circling_fic_1849_7230.txt-2441-6,1,1,0
Circled_fic_1837_8325.txt-1223-14_Circle_mag_2001_370600.txt-17-23,1,1,0
Circled_fic_1837_8325.txt-1223-14_circled_fic_1973_10569.txt-2907-9,1,1,0
Circled_fic_1837_8687.txt-961-1_Circle_nf_2006_775510.txt-112-0,1,1,0
Circled_fic_1837_8687.txt-961-1_circled_fic_1845_7162.txt-1633-28,1,1,0
Circled_fic_1837_8687.txt-961-1_circled_fic_1848_7186.txt-245-10,1,1,0
Circled_fic_1837_8687.txt-961-1_circled_fic_1985_10729.txt-5570-4,1,1,0
Circled_fic_1837_8687.txt-961-1_circled_fic_2000_32016.txt-215-2,1,1,0
Circled_fic_1837_8687.txt-961-1_circled_fic_2005_780526.txt-2258-12,1,1,0
Circled_fic_1837_8687.txt-961-1_circling_nf_1849_749269.txt-626-4,1,1,0
Circled_fic_1853_7455.txt-317-9_circled_mag_1988_339334.txt-17-2,1,1,0
Circled_mag_1840_554815.txt-207-38_circle_mag_1971_431814.txt-562-30,1,1,0
Circled_mag_1840_554815.txt-207-38_circled_fic_1845_7162.txt-1633-28,1,1,0
Circled_mag_1840_554815.txt-207-38_circled_fic_1989_780083.txt-2098-19,1,1,0
Circled_mag_1840_554815.txt-207-38_circling_fic_1827_7169.txt-2139-41,1,1,0
Circled_mag_1840_554815.txt-207-38_circling_fic_1845_622.txt-13434-3,1,1,0
Circled_mag_1840_554815.txt-207-38_circling_fic_1994_54062.txt-687-3,1,1,0
Circling_fic_1848_7992.txt-315-50_circled_fic_1852_593.txt-1202-17,1,1,0
Circling_fic_1848_7992.txt-315-50_circling_mag_1973_280788.txt-28-1,1,1,0
Circling_fic_1848_7992.txt-315-50_circling_nf_1849_749269.txt-626-4,1,1,0
Circling_fic_1849_2605.txt-638-26_CIRCLING_fic_1968_24505.txt-2485-4,1,1,0
Circling_fic_1849_2605.txt-638-26_circled_fic_1837_7452.txt-82-4,1,1,0
Circling_fic_1849_2605.txt-638-26_circled_fic_1999_44469.txt-1382-4,1,1,0
Circling_fic_1849_2605.txt-638-26_circling_nf_1849_749269.txt-626-4,1,1,0
Circling_fic_1852_8028.txt-398-39_Circled_fic_1837_8687.txt-961-1,1,1,0
Circling_fic_1852_8028.txt-398-39_circle_fic_1833_7028.txt-1089-12,1,1,0
Circling_fic_1852_8028.txt-398-39_circled_fic_1845_7162.txt-1633-28,1,1,0
Circling_fic_1852_8028.txt-398-39_circled_fic_1971_10547.txt-3199-2,1,1,0
Circling_fic_1852_8028.txt-398-39_circled_fic_1993_1040095.txt-1060-4,1,1,0
Circling_fic_1852_8028.txt-398-39_circled_news_1982_668315.txt-45-12,1,1,0
Circling_fic_1852_8028.txt-398-39_circling_fic_1978_10634.txt-2489-8,1,1,0
Circling_fic_1852_8028.txt-398-39_circling_nf_1855_748479.txt-213-16,1,1,0
Circling_fic_1854_7839.txt-1328-0_circled_fic_1853_7455.txt-645-20,1,1,0
Circling_fic_1854_7839.txt-1328-0_circled_fic_1980_10663.txt-1009-3,1,1,0
Circling_fic_1854_8328.txt-3829-0_circle_fic_1839_8627.txt-1994-11,1,1,0
Circling_fic_1854_8328.txt-3829-0_circled_fic_1840_7164.txt-2707-5,1,1,0
Circling_fic_1961_10405.txt-1211-0_circled_fic_1993_1040095.txt-1060-4,1,1,0
Circling_fic_1961_10405.txt-1211-0_circled_fic_2004_31680.txt-17-3,1,1,0
Circling_fic_1961_10405.txt-1211-0_circled_news_1962_722823.txt-13-1,1,1,0
Circling_fic_1961_10405.txt-1211-0_circling_fic_1965_780079.txt-1535-10,1,1,0
Circling_mag_2002_410849.txt-34-0_circle_fic_1833_7028.txt-1089-12,1,1,0
Circling_mag_2002_410849.txt-34-0_circle_fic_1985_780044.txt-621-12,1,1,0
Circling_mag_2002_410849.txt-34-0_circled_fic_1973_10569.txt-2907-9,1,1,0
Donkey_fic_1852_3726.txt-347-4_donkey_fic_1984_10723.txt-1468-14,1,1,0
Donkey_fic_1852_3726.txt-347-4_donkey_nf_1838_747585.txt-435-20,1,1,0
Donkey_fic_1987_782034.txt-8660-41_donkey_fic_1984_10723.txt-684-6,1,1,0
Donkey_fic_1987_782034.txt-8660-41_donkey_mag_1963_269445.txt-16-39,1,1,0
Donkey_fic_1987_782034.txt-8660-41_donkey_nf_1852_752548.txt-796-22,1,1,0
Donkey_fic_1987_782034.txt-8660-41_donkeys_fic_1984_10723.txt-1278-9,1,1,0
Donkey_nf_1843_748690.txt-1049-25_Donkey_fic_1987_782034.txt-8660-41,1,1,0
Donkey_nf_1843_748690.txt-1049-25_donkey_fic_1993_1040090.txt-4023-11,1,1,0
Donkey_nf_1843_748690.txt-1049-25_donkey_mag_1848_565755.txt-427-5,1,1,0
Donkeys_fic_1860_616.txt-1354-0_donkey_fic_1843_7208.txt-12805-16,1,1,0
Donkeys_fic_1860_616.txt-1354-0_donkey_fic_1847_7124.txt-543-5,1,1,0
Donkeys_fic_1860_616.txt-1354-0_donkeys_fic_1993_1040057.txt-226-29,1,1,0
Donkeys_mag_1853_504777.txt-20-0_donkey_fic_1835_8114.txt-1965-30,1,1,0
Donkeys_mag_1853_504777.txt-20-0_donkey_fic_1968_13276.txt-831-9,1,1,0
Edge_fic_1995_39362.txt-141-9_edge_fic_1827_7270.txt-1682-46,1,1,0
Edge_fic_1995_39362.txt-141-9_edge_nf_1827_747521.txt-883-28,1,1,0
Edge_news_2006_604826.txt-2-3_edges_fic_1845_7317.txt-4325-19,1,1,0
Edge_news_2006_604826.txt-2-3_edges_nf_1982_773998.txt-583-9,1,1,0
Edges_fic_1845_7103.txt-0-3_edge_fic_1852_593.txt-3124-19,1,1,0
Edges_fic_1845_7103.txt-0-3_edge_fic_1987_23990.txt-44-12,1,1,0
Edges_fic_1845_7103.txt-0-3_edge_fic_1994_41254.txt-44-18,1,1,0
FACE_fic_1982_16205.txt-3401-19_face_fic_1853_9040.txt-3170-14,1,1,0
FACE_fic_1982_16205.txt-3401-19_face_mag_1848_524903.txt-319-4,1,1,0
FACE_fic_1982_16205.txt-3401-19_face_mag_1989_486760.txt-91-2,1,1,0
FICTION_fic_1845_7316.txt-119-9_fictions_mag_1849_565817.txt-102-103,1,1,0
FICTION_fic_1994_54031.txt-0-3_fiction_fic_1849_7230.txt-210-13,1,1,0
FICTION_fic_2002_14169.txt-1008-0_fiction_fic_1964_14198.txt-2164-10,1,1,0
FICTION_mag_1981_294936.txt-0-4_fiction_fic_1849_7230.txt-210-13,1,1,0
FICTION_mag_1981_294936.txt-0-4_fiction_fic_2007_34420.txt-75-11,1,1,0
FICTION_news_2005_623950.txt-103-0_fiction_fic_1852_9031.txt-646-7,1,1,0
FICTION_news_2005_623950.txt-103-0_fiction_mag_1979_480051.txt-121-7,1,1,0
FICTION_nf_1859_747415.txt-1739-70_fiction_fic_1986_23986.txt-125-7,1,1,0
FICTION_nf_1859_747415.txt-1739-70_fictions_mag_1836_554415.txt-27-30,1,1,0
Faces_news_1986_670424.txt-2-0_face_fic_1830_7238.txt-135-81,1,1,0
Faces_news_1986_670424.txt-2-0_face_fic_1996_54394.txt-549-18,1,1,0
Fiction_fic_1832_7054.txt-71-66_fiction_nf_2004_746778.txt-6-32,1,1,0
Fiction_fic_1832_7054.txt-71-66_fictions_mag_1851_566042.txt-96-20,1,1,0
Fiction_fic_1838_7085.txt-189-13_fiction_mag_1834_564699.txt-298-31,1,1,0
Fiction_fic_1838_7085.txt-189-13_fiction_mag_1978_319925.txt-11-20,1,1,0
Fiction_fic_1838_7085.txt-189-13_fiction_news_2004_648944.txt-16-8,1,1,0
Fiction_fic_1843_7074.txt-24-28_fiction_mag_1834_564699.txt-298-31,1,1,0
Fiction_fic_1843_7074.txt-24-28_fiction_mag_1838_554606.txt-204-32,1,1,0
Fiction_fic_1843_7074.txt-24-28_fiction_nf_1979_773532.txt-706-4,1,1,0
Fiction_fic_1843_7074.txt-24-28_fiction_nf_1993_774078.txt-1934-42,1,1,0
Fiction_fic_1845_7183.txt-4153-10_fiction_nf_1840_771215.txt-830-5,1,1,0
Fiction_fic_1849_7192.txt-1173-44_Fiction_fic_2008_36152.txt-213-12,1,1,0
Fiction_fic_1849_7192.txt-1173-44_fiction_news_2007_643075.txt-41-12,1,1,0
Fiction_fic_1992_53575.txt-361-31_fiction_nf_1993_774078.txt-1934-42,1,1,0
Fiction_fic_1995_52906.txt-780-16_fictions_nf_1845_771333.txt-565-18,1,1,0
Fiction_fic_2008_36152.txt-213-12_Fiction_mag_2004_385610.txt-94-8,1,1,0
Fiction_fic_2008_36152.txt-213-12_fiction_news_2004_661021.txt-44-32,1,1,0
Fiction_fic_2009_36789.txt-198-24_Fiction_fic_1843_7074.txt-24-28,1,1,0
Fiction_fic_2009_36789.txt-198-24_fiction_fic_1854_3384.txt-2026-7,1,1,0
Fiction_fic_2009_36789.txt-198-24_fiction_fic_1987_10764.txt-10764-46,1,1,0
Fiction_mag_1851_555692.txt-245-8_fiction_mag_1965_478439.txt-187-34,1,1,0
Fiction_mag_1851_555692.txt-245-8_fiction_nf_1997_773614.txt-641-8,1,1,0
Fiction_mag_1999_407438.txt-17-23_fiction_mag_1972_283187.txt-5-41,1,1,0
Fiction_mag_1999_407438.txt-17-23_fiction_nf_1829_751465.txt-160-5,1,1,0
Fiction_mag_1999_407438.txt-17-23_fiction_nf_1847_749455.txt-768-53,1,1,0
Fiction_mag_2004_385610.txt-94-8_Fiction_fic_2009_36789.txt-198-24,1,1,0
Fiction_mag_2004_385610.txt-94-8_fiction_fic_1997_54734.txt-30-10,1,1,0
Fiction_mag_2004_385610.txt-94-8_fiction_nf_1997_773614.txt-614-8,1,1,0
Fiction_news_1980_734517.txt-23-0_fiction_fic_1854_3384.txt-2026-7,1,1,0
Fiction_news_1980_734517.txt-23-0_fiction_mag_1992_397164.txt-52-7,1,1,0
Fiction_news_1980_734517.txt-36-0_fiction_nf_2004_746778.txt-351-4,1,1,0
Fiction_news_1980_734517.txt-36-0_fictions_fic_1849_7167.txt-2374-8,1,1,0
Fiction_nf_1998_775165.txt-1-31_fiction_mag_1978_319925.txt-11-20,1,1,0
Fiction_nf_1998_775165.txt-1-31_fiction_mag_1980_296430.txt-7-1,1,1,0
Fiction_nf_1998_775165.txt-1-31_fiction_nf_2004_746779.txt-196-22,1,1,0
GAS_fic_2004_780508.txt-903-0_gas_mag_1835_554331.txt-58-8,1,1,0
GAS_fic_2004_780508.txt-903-0_gases_nf_1963_774282.txt-319-18,1,1,0
GAS_mag_1966_431725.txt-150-2_gas_fic_2004_49256.txt-152-8,1,1,0
GAS_mag_1966_431725.txt-150-2_gases_nf_1843_752682.txt-213-40,1,1,0
Gas_fic_1853_9200.txt-2512-29_gas_nf_1844_755204.txt-629-14,1,1,0
Gas_fic_2002_47816.txt-0-12_gas_fic_2000_38436.txt-63-16,1,1,0
Gas_mag_1963_478107.txt-2-23_gas_nf_1995_773978.txt-794-17,1,1,0
Gas_mag_2001_408078.txt-1033-13_gas_fic_1992_40319.txt-74-22,1,1,0
Gas_mag_2001_408078.txt-1033-13_gas_nf_1843_752682.txt-443-3,1,1,0
Gas_mag_2001_408078.txt-1033-13_gases_mag_1853_504638.txt-95-19,1,1,0
Gas_mag_2006_384782.txt-3-32_gases_nf_1843_752682.txt-213-40,1,1,0
Gas_mag_2006_384782.txt-3-32_gases_nf_1843_752682.txt-216-4,1,1,0
Gas_news_1962_722833.txt-43-7_gas_fic_2000_38623.txt-171-16,1,1,0
Gas_news_1962_722833.txt-43-7_gases_mag_1992_395995.txt-193-16,1,1,0
Gas_nf_1845_747909.txt-234-2_gas_nf_1843_747536.txt-758-2,1,1,0
Gas_nf_1997_773513.txt-409-18_gas_nf_1848_747893.txt-3400-18,1,1,0
Gas_nf_1997_773513.txt-409-18_gas_nf_1848_754438.txt-1507-20,1,1,0
Graft_fic_1827_7168.txt-307-138_graft_mag_2000_402886.txt-7-40,1,1,0
Graft_mag_2000_413181.txt-288-10_graft_nf_1850_747863.txt-218-10,1,1,0
Graft_nf_1999_774959.txt-51-1_graft_mag_1976_291145.txt-21-13,1,1,0
Graft_nf_1999_774959.txt-51-1_graft_news_1972_730268.txt-98-68,1,1,0
Grafts_nf_1848_747893.txt-2589-0_grafts_nf_1850_747863.txt-1833-10,1,1,0
Grafts_nf_1850_747863.txt-404-1_graft_fic_1974_13208.txt-891-12,1,1,0
Grafts_nf_1850_747863.txt-404-1_graft_fic_1999_30775.txt-91-54,1,1,0
Grafts_nf_1850_747863.txt-404-1_graft_fic_2005_32405.txt-47-22,1,1,0
Grafts_nf_1850_747863.txt-404-1_graft_news_1961_721980.txt-15-36,1,1,0
Grafts_nf_1850_747863.txt-404-1_graft_news_1972_730268.txt-98-68,1,1,0
Grafts_nf_1850_747863.txt-404-1_grafts_nf_1850_747863.txt-1739-22,1,1,0
Grafts_nf_1850_747863.txt-404-1_grafts_nf_1981_773834.txt-1049-3,1,1,0
Grafts_nf_1858_747890.txt-616-0_graft_mag_1969_214820.txt-18-23,1,1,0
Grafts_nf_1858_747890.txt-616-0_graft_mag_1976_291145.txt-21-13,1,1,0
Grafts_nf_1858_747890.txt-616-0_grafts_fic_2007_51914.txt-819-13,1,1,0
LAND_news_1991_619072.txt-65-6_Land_nf_1856_769137.txt-442-21,1,1,0
LASS_fic_1989_13956.txt-513-4_lass_fic_1824_7211.txt-1161-4,1,1,0
LASS_fic_1989_13956.txt-513-4_lass_fic_1985_10727.txt-2751-2,1,1,0
LASS_fic_1989_13956.txt-513-4_lass_mag_1995_415117.txt-3-23,1,1,0
LASS_fic_1989_13956.txt-513-4_lassi_news_2006_623988.txt-62-17,1,1,0
Land_mag_2001_412021.txt-135-8_land_fic_1860_9072.txt-773-29,1,1,0
Land_mag_2001_412021.txt-135-8_land_mag_1855_566598.txt-331-135,1,1,0
Land_nf_1856_769137.txt-442-21_land_fic_1980_782022.txt-1850-13,1,1,0
Land_nf_1856_769137.txt-442-21_landing_fic_2002_46815.txt-448-22,1,1,0
Landing_fic_1988_10768.txt-733-4_lands_mag_1849_525090.txt-128-63,1,1,0
Landing_mag_1996_384072.txt-14-33_land_mag_1964_490619.txt-25-56,1,1,0
Landing_nf_1857_753133.txt-293-50_land_fic_2006_27918.txt-381-27,1,1,0
Landing_nf_1857_753133.txt-293-50_land_mag_1860_527181.txt-175-1,1,1,0
Landing_nf_1857_753133.txt-293-50_land_mag_2006_385056.txt-36-16,1,1,0
Lands_fic_1985_10734.txt-3876-9_LAND_news_1991_619072.txt-65-6,1,1,0
Lands_fic_1985_10734.txt-3876-9_land_fic_1966_781993.txt-1898-33,1,1,0
Lands_mag_1859_556807.txt-8-0_land_fic_1854_8328.txt-1758-14,1,1,0
Lands_mag_1859_556807.txt-8-0_land_nf_1829_751465.txt-3079-38,1,1,0
Lass_fic_1974_780164.txt-1015-9_lass_fic_1843_7155.txt-1237-67,1,1,0
Lass_fic_1974_780164.txt-1015-9_lass_fic_2009_36846.txt-47-6,1,1,0
Lass_fic_1974_780164.txt-1015-9_lass_mag_1980_431982.txt-155-14,1,1,0
Lass_fic_1980_10664.txt-5887-9_Lass_fic_1981_10674.txt-5687-12,1,1,0
Lass_fic_1980_10664.txt-5887-9_lass_fic_1999_30509.txt-368-9,1,1,0
Lass_fic_1980_10664.txt-5887-9_lass_fic_2006_27510.txt-18-4,1,1,0
Lass_fic_1981_10674.txt-5687-12_lass_fic_1999_30509.txt-368-9,1,1,0
Lass_fic_1981_10674.txt-5687-12_lasses_fic_2003_29566.txt-57-25,1,1,0
Lass_fic_1981_10674.txt-5687-12_lassi_news_2006_623988.txt-62-17,1,1,0
Lass_fic_1994_54062.txt-430-22_lass_fic_1980_10663.txt-1172-33,1,1,0
Lass_mag_1835_565217.txt-61-8_lass_fic_1814_8564.txt-739-3,1,1,0
Lass_mag_1835_565217.txt-61-8_lass_fic_1981_10675.txt-2101-6,1,1,0
Lass_mag_1961_268246.txt-9-15_lass_fic_1814_8564.txt-739-3,1,1,0
