annotation_lbl,category,sentence
Circling_fic_1852_8028.txt-398-39_circled_fic_1845_7162.txt-1633-28,Identical,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || A broad-brimmed, low-crowned and long-napped white hat, set forth assuredly to the best advantage his rotund, rubicund, good-humored phiz; a clean white handkerchief circled his sturdy neck, on the volumnious folds of which reposed in placid dignity the mighty collops of his double chin."
FICTION_mag_1979_293342.txt-0-1_fiction_mag_1832_554166.txt-312-19,Identical,"@@293342 FICTION: A Bend in the River, V.S. || The weighty moral with which they are loaded, indeed, frequently presses heavily on the light vehicle of fiction, giving it a coarse business air; while the perpetual accommodation of the intrigue to the moral often produces an appearance of violence in the piece, that impairs its value as a work of art."
FICTION_mag_1981_294936.txt-0-4_fiction_fic_1849_7230.txt-210-13,Identical,"@@294936 Editors ' Choice FICTION: The Book of Laughter and Forgetting, Milan Kundera A Book of Women Poets from Antiquity to Now, edited by Aliki Barnstone and Willis Barnstone The Collected Stories of Eudora Welty, Eudora Welty Crackers, Roy Blount Jr. || The fear would be natural, for it must be admitted that in fiction there is "" no more dangerous wild-fowl "" than your Indian, not even "" your lion. """
FICTION_news_2005_623950.txt-103-0_fiction_mag_1979_480051.txt-121-7,Identical,"FICTION 72 Hour Hold by Bebe Moore Campbell (Knopf; 319 pages; $24.95): Campbell's novel of a mother and her bipolar daughter navigating mental illness and its social implications in black America. || Yet the reality today is worse than fiction: in the Dominican Republic a political prisoner has a heart attack and dies in his filthy cell after he discovers that the exceptionally hearty meal he has just eaten was his murdered son's flesh: in Uruguay and Argentina political prisoners are shackled in a barbecue pit and slowly roasted; in Brazil a three-month-old baby is tortured to death in his parents ' presence; and in Paraguay prisoners are forced head downward into the pileta, a tub of excrement and urine, until nearly asphyxiated."
Faces_news_1986_670424.txt-2-0_face_fic_1996_54394.txt-549-18,Distantly Related,"Faces 20 Years in Prison // In all, Mr. McLaughlin, a lawyer, faces 20 years in prison and automatic disbarment, although a prison sentence for more than the maximum on one count, 7 years, would be unlikely. || I lay and stared up at him for a while, feeling the strange unbreathing warmth of his face against my hand -- he only drew in breath when he wanted to talk -- and I started to notice something else about him, that air was mixing with his edges somehow, but before I could concentrate on that, I sat up, looking around, feeling alarmed. """
Fiction_fic_2008_36152.txt-213-12_fiction_nf_2006_746343.txt-61-3,Identical,"Library of Congress subject headings for this publication: Women cartoonists -- Fiction. || In both his fiction ' and his nonfiction, Wallace Stegner emphasized the aridity, vast distances, and isolation of the mountain West."
Fiction_nf_1998_775165.txt-1-31_fictions_nf_1841_747994.txt-2145-20,Closely Related,"by Anthony Trollope // Sophie's Choice by William Styron // Henry and Clara by Thomas Mallon // Underworld by Don DeLillo // Lonesome Dove by Larry McMurtry // 10 Non Fiction Books That Help Us Understand the World // The Decline and Fall of the Roman Empire by Gibbons // The Best and the Brightest by David Halberstam // Lenin's Tomb by David Remnick // Lincoln by David Herbert Douglas // Silent Spring by Rachel Carson // In Cold Blood by Truman Capote // How We Die by Sherwin Nuland // The Unredeemed Captive by John Demos // The Second Sex by Simone de Beauvoir // The Power Broker by Robert || This realization can not be easily effected as with the insane, for the maniac feels the contradiction of his fictions with the world; he therefore, finding the world in his turns against it with the hope that by its destruction he may realize the purposes of his diseased will."
Grafts_nf_1850_747863.txt-404-1_graft_fic_1999_30775.txt-91-54,Unrelated,"/z/ Grafts which have become dry, may be restored if the moisture is applied so gradually that its absorption may re quire several weeks. || In outlining courses of reading for refugees, Miss Flexner tries to slip in literary antidotes for what she has discovered are the three great misconceptions about this nation: (1) that gangsters lurk on every hand, making it dangerous to venture out after dark, (2) that political graft is rampant in every department of the government, and (3) that one must never discuss politics where there is any danger of being overheard."
LAND_news_1991_619072.txt-65-6_land_mag_1972_278584.txt-5-17,Identical,"ALLEN L. CHASE San Francisco THE LAND OF OZ Editor -- Jordan is the new mayor, the Niners aren't going to the playoffs and Bill Graham is dead. || The emphasis on the work ethic points up one of the key realities of life in the land of Mao."
Land_mag_2001_412021.txt-135-8_land_mag_1855_566598.txt-331-135,Identical,"The investigators began quizzing him about the Holy Land Foundation. || He talks of a class of men who play upon the public sympathies, who make a trade of philanthropy and live by it, whose benevolence is according to their mere instincts and sensibilities, and without regard to God's comprehensive government is always exclusively on one side, and that the side of crime, lawlessness, and violence-who are spreading abroad a new visionary philosophy and literature which subject scripture to the interpretation of the intuitional reason, and corresponding impulses of a romantic sensibility, and plead for the boasted dignity and perfectibility of man, and set up his imaginary rights above his duties, and his happiness above his virtue; who are encouraged by selfish and time-serving politicians, and are doing much mis- chief iu the land."
Lands_fic_1985_10734.txt-3876-9_land_mag_1992_394682.txt-26-26,Closely Related,"Allanon was dead, gone forever from the Four Lands. || If the British went by water, Revere later wrote, "" We should shew two lanthorns in the North Church steeple, and if by land, one as a signal, for we were apprehensive it would be difficult to cross the Charles River, or to git over Boston"
Lass_fic_1980_10664.txt-5887-9_lass_fic_2006_27510.txt-18-4,Identical,"Not now, "" said she, "" the Lass hath been thro ' enough Hardshipthese past Days. "" || Just a simple fisher lass heading home, nothing more."
PROPS_mag_2003_416114.txt-82-0_props_fic_1966_12053.txt-74-2,Unrelated,"PROPS: A little extra beef in the flex eliminates tip and tail flop. || THE HELPER props the sign against the wall, lifts a box and turns for his trip below, leaving the poster grinning behind him."
PROPS_mag_2003_416114.txt-82-0_props_fic_1969_10510.txt-1191-26,Unrelated,"PROPS: A little extra beef in the flex eliminates tip and tail flop. || Perhaps it was the extraordinary freshness and clarity to the air at this hour which made for the impression, or the fact that the few props which comprised the spare landscape of sea, sand, and hill stood out then in such startling relief."
Part_fic_1834_7252.txt-2209-0_part_nf_1838_747585.txt-691-3,Distantly Related,"Part of them belong to Lopez; let him come and herd them. ' || For my own part, without at this moment referring to particulars, I was disappointed in the first view of the ruins of Thebes."
Part_fic_1834_7252.txt-2209-0_parts_nf_1844_755204.txt-1377-19,Closely Related,"Part of them belong to Lopez; let him come and herd them. ' || termed ventricles are formed, which do not exist in fishes, reptiles, or birds; curiously organized parts, such as the corpora striata, are added; it is now the brain of the mammalia."
Part_mag_1983_323609.txt-21-4_part_fic_1854_7839.txt-1488-13,Unrelated,"The young Peer of Part I (rather monotonously played by Greg || that can not be; For though by fate we're forced to part, Thou ne'er canst absent be to me, -- Thou ' rt ever present in my heart!"
Part_mag_1983_323609.txt-21-4_part_fic_2003_30073.txt-45-6,Closely Related,The young Peer of Part I (rather monotonously played by Greg || Sometimes that knowledge seemed the worst part of my loss.
Pinning_mag_1970_282090.txt-31-0_pinning_mag_1843_565253.txt-54-6,Distantly Related,"Pinning down a Barthelme story is obviously a surrealistic experience - rather like trying to explain a Groucho Marx joke to someone who has never heard of Groucho Marx. || Some are so much afraid of pinning their faith upon authority, and taking opinions upon trust, that they dare not rely on the word of God himself, nor yield belief to evidence which is perfectly conclusive."
Plane_mag_1844_555220.txt-284-1_plane_fic_1975_780106.txt-271-3,Unrelated,"The Plane or Buttonwood tree, so common in our streets and environs, has hitherto || At once the plane became even more difficult to handle, and Close realised why he had left it so late. """
Plane_mag_1844_555220.txt-284-1_plane_nf_1830_747561.txt-368-11,Unrelated,"The Plane or Buttonwood tree, so common in our streets and environs, has hitherto || It represents a ray of light coming straight from the perspective plane through the eye, and marks the point of sight as S, and also the distance of the spectator as D, and it is plain that the /z/ farther off the spectator is placed from the perspective plane, the longer would be this ray."
Plane_mag_1844_555220.txt-284-1_planes_nf_1853_747976.txt-1786-34,Unrelated,"The Plane or Buttonwood tree, so common in our streets and environs, has hitherto || The plumber uses but few tools, and those are of a simple character; the greater number of them being similar to those used by other artificers, as hammers, mallets, planes, chisels, gouges, JUes, &c.; The principal tool peculiar to the /z/ trade of the plumber is the bat, which is made of beech"
Plane_nf_1827_747521.txt-56-0_plane_nf_1830_747561.txt-544-31,Identical,"Plane figures having more than four sides are in general called polygons, and receive other particular names, according to the number of their sides or angles. || You will observe that the two circles partly described on the plate, for the purpose of determining the opening of the box, are circles standing upright on the ground plane, and not laying on it, as are the circles in Plate 10."
Plane_nf_1827_748059.txt-314-33_plane_nf_1830_747561.txt-368-11,Unrelated,"Oak, old English, young tree, 363 "" old ship timber, "" from old tree, "" medium qualities, "" green, Beech, medium quality, Alder, Plane tree. || It represents a ray of light coming straight from the perspective plane through the eye, and marks the point of sight as S, and also the distance of the spectator as D, and it is plain that the /z/ farther off the spectator is placed from the perspective plane, the longer would be this ray."
Plane_nf_1827_748059.txt-314-33_planes_nf_1972_774227.txt-1121-7,Unrelated,"Oak, old English, young tree, 363 "" old ship timber, "" from old tree, "" medium qualities, "" green, Beech, medium quality, Alder, Plane tree. || to provide a contrast to the open planes of Christ's nude torso."
Plane_nf_1827_748059.txt-314-33_planing_fic_1843_7039.txt-2100-37,Unrelated,"Oak, old English, young tree, 363 "" old ship timber, "" from old tree, "" medium qualities, "" green, Beech, medium quality, Alder, Plane tree. || Their busy, earnest twitterings led me at once to suspect that they were looking out a building-spot; but as a carpenter's bench was under the window, and frequent hammering, sawing, and planing were going on, I had little hope they would choose a location under our roof."
Player_news_1993_630359.txt-52-23_player_fic_1845_7170.txt-11079-11,Closely Related,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || She is now, as we judge, a singer and player of the first order, and has many pupils in town"
Players_news_1998_615330.txt-27-16_players_mag_1846_524089.txt-294-22,Closely Related,", they were attracted to being a part of a community with Georgia's only Tournament Players Club, a PGA Tour-managed facility. "" || A popular Judge, "" says the great Bacon, "" is a deformed thing; and plaudites ' are fitter for players than for magistrates."
Prop_news_1994_606785.txt-34-3_Prop_news_1994_620111.txt-57-24,Identical,"One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || All of the potential board presidents -- Supervisors Migden, Shelley, Conroy, Leal and candidate Tom Ammiano -- are strong supporters of Prop."
Prop_news_1994_606785.txt-34-3_prop_fic_1965_780079.txt-2652-12,Unrelated,"One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || But soon Wolfie was seen leaping up and down, cranking the prop by hand."
Prop_news_1994_606785.txt-34-3_prop_mag_1976_431910.txt-23-21,Unrelated,One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || This can be maintained in different wind speeds by changing the pitch angle of the propeller much as is done in prop planes.
Prop_news_1994_606785.txt-34-3_props_mag_1964_271036.txt-5-8,Unrelated,"One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || When they all are pulling together, the props should generate enough direct lift to raise the plane vertically."
Prop_news_1994_606785.txt-34-3_props_nf_1827_748059.txt-434-1,Unrelated,"One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || The props were 3 feet asunder, the same weights were used in each case, and the deflections were carefully measured by a scale of 55 parts to an inch."
Prop_news_1994_620111.txt-57-24_PROPS_mag_2003_416114.txt-82-0,Unrelated,"All of the potential board presidents -- Supervisors Migden, Shelley, Conroy, Leal and candidate Tom Ammiano -- are strong supporters of Prop. || PROPS: A little extra beef in the flex eliminates tip and tail flop."
Prop_news_1994_620111.txt-57-24_prop_fic_1965_780079.txt-2652-12,Unrelated,"All of the potential board presidents -- Supervisors Migden, Shelley, Conroy, Leal and candidate Tom Ammiano -- are strong supporters of Prop. || But soon Wolfie was seen leaping up and down, cranking the prop by hand."
Props_news_2005_629366.txt-44-25_prop_fic_1848_7992.txt-57-24,Unrelated,"... Rapper-turned-actor: Ice-T (real name: Tracy Marrow) Films: New Jack City, Judgment Day, others Commitment level: 5 Props: Between TV and movies, Ice-T has the longest resume of any rapper-actor. || But as his bud became a flower, His selfish soul was gratified; He saw her wondrous beauty's power Would be the prop to raise his pride -- As vine the bending tree sustains,"
RAG_fic_2002_14169.txt-131-104_rags_fic_1856_1281.txt-1432-45,Unrelated,"ENSEMBLE THERE 'S SOMETHIN ' HAPPENIN ' IN DIXIEI 'M FROM DIXIE SO I KNOWWE GOT A RAG WE CALL "" THE FIG TREE "" FOR THAT BIG TREE THAT WE GROWAND WHEN WE 'RE HOPPIN ' ON THE BAYOUI DEFY YOU TO BE STILLGET YOU A RAGGY TUNEGET YOU A CAJUN MOONGET YOU A JACK OR A JILL COME ON ALONGWE 'RE GON NA DO THE FIG TREE RAGYOUR BODY GON NA ZIG AND ZAGTAKE A LOOK ATEV'RY CHAP AND EV'RY CHIPPY ALL ALONG THE MISSISSIPPIDOIN ' THE DANCETHEY 'RE DANCIN ' TO THE FIG TREE RAGI WAN NA DO THE FIG TREE RAG || Necessity had almost driven me to the sign of the ' Three Martyrs, ' to see what the man of the eagle face would give me on my cap, for they said the man at the ' Three Martyrs ' lent money on rags such as I had."
RAG_fic_2002_14169.txt-131-104_rags_fic_1969_10517.txt-1319-11,Unrelated,"ENSEMBLE THERE 'S SOMETHIN ' HAPPENIN ' IN DIXIEI 'M FROM DIXIE SO I KNOWWE GOT A RAG WE CALL "" THE FIG TREE "" FOR THAT BIG TREE THAT WE GROWAND WHEN WE 'RE HOPPIN ' ON THE BAYOUI DEFY YOU TO BE STILLGET YOU A RAGGY TUNEGET YOU A CAJUN MOONGET YOU A JACK OR A JILL COME ON ALONGWE 'RE GON NA DO THE FIG TREE RAGYOUR BODY GON NA ZIG AND ZAGTAKE A LOOK ATEV'RY CHAP AND EV'RY CHIPPY ALL ALONG THE MISSISSIPPIDOIN ' THE DANCETHEY 'RE DANCIN ' TO THE FIG TREE RAGI WAN NA DO THE FIG TREE RAG || The big attendant comes out of his office and hands wet rags to everybody."
RAG_fic_2002_14169.txt-131-104_rags_fic_1981_10676.txt-2847-16,Unrelated,"ENSEMBLE THERE 'S SOMETHIN ' HAPPENIN ' IN DIXIEI 'M FROM DIXIE SO I KNOWWE GOT A RAG WE CALL "" THE FIG TREE "" FOR THAT BIG TREE THAT WE GROWAND WHEN WE 'RE HOPPIN ' ON THE BAYOUI DEFY YOU TO BE STILLGET YOU A RAGGY TUNEGET YOU A CAJUN MOONGET YOU A JACK OR A JILL COME ON ALONGWE 'RE GON NA DO THE FIG TREE RAGYOUR BODY GON NA ZIG AND ZAGTAKE A LOOK ATEV'RY CHAP AND EV'RY CHIPPY ALL ALONG THE MISSISSIPPIDOIN ' THE DANCETHEY 'RE DANCIN ' TO THE FIG TREE RAGI WAN NA DO THE FIG TREE RAG || The room we stood in faced a black tenement, a backyard full of boards, rags, trash, debris, buildings that looked as if they'd been struck by a series of bombings."
Record_news_1997_602155.txt-31-13_record_mag_1971_282685.txt-6-3,Identical,"Columbus (Ohio) Quest Head coach: Brian Agler (31-9) Record last season: 31-9 Returning players: 6 Returning starters: 4 Probable starters F: Andrea Lloyd, 6-2 (Texas ' 87) F: Katie Smith, 5-11 (Ohio State ' 96) C: Valerie Still, 6-1 (Kentucky ' 83) G: Shannon Johnson, 5-8 (S. Carolina ' 96) G: Tonya Edwards, 5-10 (Tennessee ' 96) Players to watch: Smith and Edwards are returning all-stars, and Still was the championship series MVP. || Last week a record crowd of 81,036 came to find out, as the big (16.1 hands) copper colt went to the post in the $125,000 Belmont Stakes, the final jewel in the Triple Crown."
Record_news_1997_602155.txt-31-13_record_mag_2006_112391.txt-44-14,Identical,"Columbus (Ohio) Quest Head coach: Brian Agler (31-9) Record last season: 31-9 Returning players: 6 Returning starters: 4 Probable starters F: Andrea Lloyd, 6-2 (Texas ' 87) F: Katie Smith, 5-11 (Ohio State ' 96) C: Valerie Still, 6-1 (Kentucky ' 83) G: Shannon Johnson, 5-8 (S. Carolina ' 96) G: Tonya Edwards, 5-10 (Tennessee ' 96) Players to watch: Smith and Edwards are returning all-stars, and Still was the championship series MVP. || His rotation's 4.32 ERA was nearly a full run better than the franchise record (5.19, in 1995), and the quartet of Jason Jennings, Aaron Cook, Jeff Francis and Josh Fogg had yet to miss a start."
Record_news_1997_602155.txt-31-13_records_mag_1962_311690.txt-9-8,Distantly Related,"Columbus (Ohio) Quest Head coach: Brian Agler (31-9) Record last season: 31-9 Returning players: 6 Returning starters: 4 Probable starters F: Andrea Lloyd, 6-2 (Texas ' 87) F: Katie Smith, 5-11 (Ohio State ' 96) C: Valerie Still, 6-1 (Kentucky ' 83) G: Shannon Johnson, 5-8 (S. Carolina ' 96) G: Tonya Edwards, 5-10 (Tennessee ' 96) Players to watch: Smith and Edwards are returning all-stars, and Still was the championship series MVP. || What's more, sales of poetry on records are tuned to unprecedented volume."
Records_fic_1847_7094.txt-171-58_record_fic_1860_1171.txt-1939-20,Identical,"He then buttered his toast, and with a piece of smoked herring as a relish, proceeded very composedly to eat his supper on the corner of his table, his cup resting on Chitty's Pleadings, his saucer on a copy of the Revised Statues, and his plate upon the open volume of the Records of the Court of Sessions, while his sugar bowl and cream-pot found a clear place of the table for their accommodation. || Willoughby's as the family possess and will submit for examination, carefully searched, in the hope that some record may be found in his hand-writing, sufficiently clear to establish the fact that my mother was the wife of the elder Captain Allen."
Stabs_fic_1980_10664.txt-5180-5_stab_fic_1973_10570.txt-862-34,Distantly Related,"Sure, I had felt Stabs of Envy (as any other Mortal Soul bath done), but always I seem'd to know that all the divers Destinies ofp284Humankind have their own Pains as well as their own Pleasures, and e'en the Greatest Lord who suffers no pecuniary Want, may be tormented with the Gout, or Devastation at the Loss of Love, and feel his Suff'rings as keenly as the poor Gin-soakt Beggar. || In a close-fitting dress of flamboyantdesign, all dolled up in a blond Hollywood wig, and swinging a gaudy handbag and hips, she had given herself away by making a brilliant one-handed stab on a near-miss home run lifted foul into the left-field seats by Big John, who, being perfectly sober, had swung late."
Stroking_fic_2003_29392.txt-324-0_stroked_fic_1987_780058.txt-3028-4,Identical,"Stroking its great fierce head, he lifted the heavy antennae, still moist and curled, and let the creature taste the flavor of his skin until it was entirely under his command. || to her head and stroked her short, curly hair tenderly."
TIPPED_fic_1991_16780.txt-3914-8_Tip_fic_1846_8819.txt-1554-0,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || Tip us your bone, says I, and make yourself welcome."
TIPPED_fic_1991_16780.txt-3914-8_tipped_fic_1843_7039.txt-2779-6,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || The Cupid of the ancient Hindoos tipped his arrows with flowers, and orange buds are the bridal crown with us, a nation of yesterday."
TIPPED_fic_1991_16780.txt-3914-8_tipped_fic_1846_7036.txt-2226-29,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || She treasured up all the old traditions, and though she repeated them truly, they came from her mouth in brighter pictures than from others, because she tipped all the edges with her own golden fancy."
TIPPED_fic_1991_16780.txt-3914-8_tipped_fic_1850_7953.txt-1479-29,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || Of my pearls, coming down, I will form thee a crown, To encircle thy brow young and fair; Every leaf on thy stem Shall be tipped with a gem, Every bud sparkling diamonds shall wear."
TIPPED_fic_1991_16780.txt-3914-8_tipped_fic_1850_7953.txt-1480-26,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || By the mirror's show While thou ne'er wilt know Thy beauty, nor proudly thy jewels bear, Every leaf on thy stem Shall be tipped with a gem, Every bud sparkling diamonds shall wear!"
TIPPED_fic_1991_16780.txt-3914-8_tipped_fic_1851_746.txt-9276-19,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || The parted mouth of Tashtego revealed his shark-white teeth, which strangely gleamed as if they too had been tipped by corpusants; while lit up by the preternatural light,"
