annotation_lbl,category,sentence
Chef_news_1977_732998.txt-23-0_chef_mag_2002_397228.txt-0-30,Identical,"Chef Julia Child often brings along a roast lamb sandwich from home. || @@397228 // Hurtling toward American Idol's hotly anticipated climax, finalists Kelly Clarkson, Nikki McKibbin and Justin Guarini savor living large in a mansion equipped with a personal chef (and an on-call shrink) Sunup on L.A.'s Mulholland Drive and the only evidence Tamyra Gray ever dwelled here with the other American Idol finalists is a note she left behind, like some message from a reality-TV ghost."
Circle_fic_2007_52477.txt-270-44_circled_fic_1985_10729.txt-5570-4,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || The jerking stiff-jointed puppets circled him, shuffling and bobbingp229along the floorboards."
Circle_fic_2007_52477.txt-270-44_circled_mag_1840_554815.txt-255-35,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || A woman in distress affects most minds more strongly than a suffering angel; and this scene of purely human character served as a pretty touchstone, to try the sympathies of the many who circled the gallery."
Circle_fic_2007_52477.txt-270-44_circling_fic_1994_54062.txt-687-3,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || More Gothas were circling above and below, propellers churning through the murk, their familiar Wong-wong filling the fog."
Circle_fic_2007_52477.txt-270-44_circling_nf_1849_749269.txt-626-4,Unrelated,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || he said again, circling back to his favorite maxim."
Circle_mag_2001_370600.txt-17-23_Circled_mag_1840_554815.txt-207-38,Unrelated,"Reynolds Price is the author of more than 30 books, including Kate Vaiden, for which he received the National Book Critics Circle Award in 1986 || lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. """
Circle_nf_2006_775510.txt-112-0_Circle_fic_2007_52477.txt-270-44,Unrelated,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction."
Circle_nf_2006_775510.txt-112-0_circled_fic_1974_782013.txt-2184-9,Distantly Related,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || Vance honked the horn a few times, then circled the station calling me and looked into the men's room again."
Circle_nf_2006_775510.txt-112-0_circling_fic_1964_10451.txt-458-31,Unrelated,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || Lee could not allow anyone to be behind her, and she didn't like to stand against the wall the way the others did, so she had to keep circling relentlessly to "" keep everyone properly placed. """
Circle_nf_2006_775510.txt-112-0_circling_nf_1849_749269.txt-626-4,Distantly Related,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || he said again, circling back to his favorite maxim."
Circled_fic_1811_8637.txt-163-27_Circled_mag_1840_554815.txt-207-38,Identical,"When brothers are at variance, could they think On one tear a mother shed on them, That woke their slumbers, while their infant arms Circled each other's neck, ' t would surely quench All sparks of strife within their breasts for ever. || lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. """
Circled_fic_1837_8325.txt-1223-14_circling_fic_2001_14559.txt-2980-18,Identical,"Thy pleasant spot of birth Is sad without thee, and an ancient head Circled with years and blessings as a crown Bows low with the first pang thou e'er didst cause A father's bosom. || And all around me people shouting, shouting and something like water rushing in through my head and circling my skull."
Circled_fic_1837_8325.txt-1223-14_circling_nf_1849_749269.txt-626-4,Distantly Related,"Thy pleasant spot of birth Is sad without thee, and an ancient head Circled with years and blessings as a crown Bows low with the first pang thou e'er didst cause A father's bosom. || he said again, circling back to his favorite maxim."
Circled_fic_1837_8687.txt-961-1_circling_fic_1849_7230.txt-2441-6,Distantly Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || ye lieges all advance, And circling join in merry Morrice dance. """
Circled_fic_1837_8687.txt-961-1_circling_fic_2001_14559.txt-2980-18,Closely Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || And all around me people shouting, shouting and something like water rushing in through my head and circling my skull."
Circled_fic_1837_8687.txt-961-1_circling_nf_1849_749269.txt-626-4,Closely Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || he said again, circling back to his favorite maxim."
Circled_fic_1853_7455.txt-317-9_circling_nf_1849_749269.txt-626-4,Closely Related,"So she stood in this Palace of Pleasure, Circled round by the Swans of Delight. || he said again, circling back to his favorite maxim."
Circled_mag_1840_554815.txt-207-38_circle_fic_1839_8627.txt-1994-11,Distantly Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || See how they bear him up upon their wings, And circle him with glory!"
Circled_mag_1840_554815.txt-207-38_circled_fic_1973_10569.txt-2907-9,Distantly Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || A new concrete road ran up to it and circled it to rejoin itself and fade away into the dun thistle-strewn hills."
Circled_mag_1840_554815.txt-207-38_circling_fic_1843_7155.txt-169-45,Unrelated,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || not traversed half the space between her and their nearest barque, before, with an explosion that might be heard leagues away into the pathless forest, startling the wild beast and the wilder Indian in his lair, and with a wide and circling glare that for an instant made the broad daylight pallid, the caravel blew up!"
Circled_mag_1840_554815.txt-207-38_circling_fic_1854_70.txt-2012-8,Closely Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || Or sometimes I watched a pair of hen-hawks circling high in the sky, alternately soaring and descending, approaching, and leaving one another, as if they were the embodiment of my own thoughts."
Circling_fic_1849_2605.txt-638-26_circled_fic_1852_593.txt-1202-17,Closely Related,"I love to see him track the street, With his wary eye and active feet; And I often watch him as he springs, Circling the steeples with easy wings, Till across the dial his shade has pass'd, And the belfry edge is gained at last. ' || Those pleasantly swelling slopes of our farm, descending towards the wide meadows, through which sluggishly circled the brimful tide of the Charles, bathing the long sedges on its hither and farther shores; the broad, sunny gleam over the winding water; that peculiar picturesqueness of the scene where capes and headlands put themselves boldly forth upon the perfect level of the"
Circling_fic_1852_8028.txt-398-39_circled_fic_1993_1040095.txt-1060-4,Closely Related,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || Once again everyone was circled; and once again everyone was afraid to make the move."
Circling_fic_1852_8028.txt-398-39_circled_news_1982_668315.txt-45-12,Closely Related,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || A Montana pass to Earl Cooper picked up 5 more before Solomon circled left end on a wide receiver reverse for 14 more."
Circling_fic_1852_8028.txt-398-39_circling_nf_1855_748479.txt-213-16,Closely Related,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || The Egyptians, like the Americans, were a mixed race, with some Negro blood circling around the throne, as well as in the mud hovels."
Circling_fic_1854_7839.txt-1328-0_circling_fic_1849_7230.txt-2441-6,Closely Related,"Circling mountains, purple beaming, Lured his soul to constant dreaming, -- Ever dreaming, ever scheming, -- On and upward was his gaze. || ye lieges all advance, And circling join in merry Morrice dance. """
Circling_fic_1854_7839.txt-1328-0_circling_mag_1822_553415.txt-75-11,Closely Related,"Circling mountains, purple beaming, Lured his soul to constant dreaming, -- Ever dreaming, ever scheming, -- On and upward was his gaze. || graceful rainbow, now arching over our heads, and now circling in the vapour at our feet, still flew before us as we moved."
Circling_fic_1961_10405.txt-1211-0_circled_fic_1978_782020.txt-1272-1,Closely Related,"Circling the city, indeed its primary vein of extra-human, by day it thrust the streets back upon their own mortality, miserable or effete. || Janet circled him at a distance as though he might still be dangerous."
Circling_fic_1961_10405.txt-1211-0_circling_nf_1849_749269.txt-626-4,Closely Related,"Circling the city, indeed its primary vein of extra-human, by day it thrust the streets back upon their own mortality, miserable or effete. || he said again, circling back to his favorite maxim."
Circling_fic_1984_13602.txt-962-0_circle_fic_1839_8627.txt-1994-11,Distantly Related,"Circling SAPPHO while singing, TIMAS, ANACTORIA and CLEIS dress her in the death-gown, as she had dressed ANACTORIA as Aphrodite in Act I. SAPPHO enters the death-cave, where ATTHIS sees her as the figure of Death. || See how they bear him up upon their wings, And circle him with glory!"
Circling_fic_1984_13602.txt-962-0_circling_nf_1849_749269.txt-626-4,Distantly Related,"Circling SAPPHO while singing, TIMAS, ANACTORIA and CLEIS dress her in the death-gown, as she had dressed ANACTORIA as Aphrodite in Act I. SAPPHO enters the death-cave, where ATTHIS sees her as the figure of Death. || he said again, circling back to his favorite maxim."
Circling_mag_2002_410849.txt-34-0_circling_fic_1849_7230.txt-2441-6,Closely Related,"Circling the globe in slightly different orbits 15 times a || ye lieges all advance, And circling join in merry Morrice dance. """
Donkey_nf_1843_748690.txt-1049-25_Donkey_fic_1987_782034.txt-8660-41,Closely Related,"CHAPTER IX Badajoz -- Antonio the Gypsy -- Antonio's Proposal -- The Proposal Accepted -- Gypsy Breakfast -- Departure from Badajoz -- The Gypsy Donkey -- Merida -- The Ruined Wall -- The Crone -- The Land of the Moor - - The Black Men -- Life in the Desert -- The Supper. || Well, hell, Marty, "" said Kramer, figuring that, having been a fellow soldier with him in the bullshit skirmish at Reverend Bacon's, he could go on a nickname basis with the dauntless little Irish Donkey, "" the kids"
Donkeys_fic_1860_616.txt-1354-0_donkeys_nf_1838_747585.txt-438-30,Identical,"Donkeys, bearing panniers stuffed out with kitchen vegetables, and requiring an ample roadway, roughly shouldered aside the throng. || As she grew up, she went out occasionally alone; and even among the Turks her interesting little figure made her a favourite; and when all the other donkeys were idle, hers was sure to be engaged."
Donkeys_mag_1853_504777.txt-20-0_donkeys_nf_1838_747585.txt-438-30,Identical,"Donkeys brayed, Mexicans chattered, cocks crew, every horse in the corral, or horse-yard, seemed determined to give us his farewell neigh; and amid the almost stunning din I could with difficulty catch the parting words of our host: "" Good-by; never trouble yourselves about the horses -- but take good || As she grew up, she went out occasionally alone; and even among the Turks her interesting little figure made her a favourite; and when all the other donkeys were idle, hers was sure to be engaged."
Edges_fic_1845_7103.txt-0-3_edge_fic_1985_10731.txt-8264-5,Undecidable,"@@104 Covers, Edges and Spine Main text HARRY HAREFOOT. || He pushed it over the edge and leaped after it."
FACE_fic_1982_16205.txt-3401-19_face_news_2004_617201.txt-34-2,Unrelated,"FREEZE FRAME on Swann's broadly smiling face: DISSOLVE TO: Section Details 236 CLOSEUP - BENJY 'S FACE He's a little older and he looks a little healthier. || In the face of such statistics, researchers are exploring which children seem to survive -- even thrive -- after a divorce."
FICTION_fic_1845_7316.txt-119-9_FICTION_fic_1994_54031.txt-0-3,Identical,"VIEWS &; REVIEWS OF AMERICAN HISTORY, LITERATURE &; FICTION. || @@16031 Section: FICTION In the dream, I arrive at an airbase somewhere twenty years after having flown an airplane."
FICTION_fic_1994_54031.txt-0-3_fiction_nf_2004_746778.txt-6-32,Distantly Related,"@@16031 Section: FICTION In the dream, I arrive at an airbase somewhere twenty years after having flown an airplane. || fiction affords "" (cover of The Corrections) and with the pleasures themselves, indeed so familiar that we rarely enquire into the state of mind that renders such responses to fiction possible."
FICTION_fic_1994_54031.txt-0-3_fictions_fic_1989_14343.txt-309-40,Closely Related,"@@16031 Section: FICTION In the dream, I arrive at an airbase somewhere twenty years after having flown an airplane. || FIRST GIRL Yet, there is abundant evidence from their songs and cherished traditions that Australian aborigines are by no means destitute of some qualities in which civilized men glory, such as the power of inventing tragic and sarcastic fictions, the thirst for religious mystery, contempt for pain, and reverence for departed friends and ancestors."
FICTION_fic_2002_14169.txt-1013-17_fiction_nf_1993_774078.txt-1934-42,Identical,"PLEASE, I BEG YA, DO N'T PROVOKE ' IMALL YOU 'LL EVER GET IS HOKUM FICTION WHAT IF I CHANGE THE NAMES A LITTLE? || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
FICTION_mag_1974_281789.txt-0-1_fiction_mag_1978_319925.txt-11-20,Identical,"@@281789 FICTION 1-Centennial, Michener (1 last week) 2-The Seven-Per-Cent Solution, Meyer (4) 3-Something Happened, Heller (2) 4-The Pirate, Robbin$ (3) 5-Tinker, Tailor, Soldier, Spy, le Carr (5) 6-The Dogs of War, Forsyfh (7) 7-Harlequin, West (9) 8-Jaws, BencMey (6) 9-The Ebony Tower, Fowles 10-The Glory and the Lightning, Caldwell (8) NONFICTION 1 - All Things Bright and Beautiful, Herriof H; 2-A Bridge Too Far, Ryan (2) 3-Tales of Power, Cosfanedo (3) 4-The Memory Book, Lorayne &; Lucas(5) 5-All the President's Men, Bernstein &; Woodward (4) 6-More Joy, Comfort (7) 7-The Palace Guard, Rather &; Gates (9) 8-The Woman He Loved, Martin (6) 9-Cavett, Cavett &; Porterfield (8) 10-The Bermuda Triangle, Berlitz (10) @ @ || Shaw spent five decades writing big movies and novels (The Young Lions, Lucy Crown) and unprofitable short fiction, because "" in a novel or a play you must be a whole man."
FICTION_mag_1979_293342.txt-0-1_fictions_nf_1845_771333.txt-565-18,Closely Related,"@@293342 FICTION: A Bend in the River, V.S. || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
FICTION_mag_1981_294936.txt-0-4_fiction_nf_1993_774078.txt-1934-42,Identical,"@@294936 Editors ' Choice FICTION: The Book of Laughter and Forgetting, Milan Kundera A Book of Women Poets from Antiquity to Now, edited by Aliki Barnstone and Willis Barnstone The Collected Stories of Eudora Welty, Eudora Welty Crackers, Roy Blount Jr. || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
FICTION_nf_1859_747415.txt-1739-70_fiction_fic_1997_42375.txt-311-4,Identical,", p. 423), "" Even under the supposition that Wilhelm von Humboldt, in his now past generation, when writing ' on the Diversity of Languages and Peoples, ' may have speculated upon the possibility of reducing both into one original stock, it will remain equally certain that, in such an assumed conclusion, he was biassed by no dogmatical respect for MYTHS, FICTION, or PRETENDED TRADITION; and furthermore that, if he grounded his results on the ' Kawi Sprache, ' he inadvertently built upon a quicksand, as subsequent researches have established. ' || Among his books of fiction are In Silence There Are Ghosts (Baker Book House), a novel, and The Secrets of Barneveld Calvary (Baker Book House), a cycle of stories published earlier this year."
Faces_news_1986_670424.txt-2-0_face_fic_1844_7135.txt-1091-19,Distantly Related,"Faces 20 Years in Prison // In all, Mr. McLaughlin, a lawyer, faces 20 years in prison and automatic disbarment, although a prison sentence for more than the maximum on one count, 7 years, would be unlikely. || Father Eustaquio followed her into a low ceiled chamber, where seated in a cane chair, with her face leaning upon her hand sat the lovely"
Faces_news_1986_670424.txt-2-0_face_mag_1834_554263.txt-165-90,Distantly Related,"Faces 20 Years in Prison // In all, Mr. McLaughlin, a lawyer, faces 20 years in prison and automatic disbarment, although a prison sentence for more than the maximum on one count, 7 years, would be unlikely. || They had stolen two days ' march upon the English army, before the Duke of Cumberland knew any thing of their movements: but when it was ascertained that they had aclually commenced their retreat, his courage and that of his army began to rise; it seemed to be the first time they had breathed freely for six weeks, during which a small and ill appointed force had carried the standard of Glenfinnin a hundred and fifty miles into the heart of England, in the face of a hostile people, and of an army which immeasurably exceeded theirs in discipline and numbers."
Fiction_fic_1848_7193.txt-13420-23_fiction_nf_1993_774078.txt-1934-42,Closely Related,"To objections like these, I might answer, in a frank and confidential way, my friend: Truth is stranger than Fiction. || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
Fiction_fic_1992_53575.txt-361-31_fiction_nf_1993_774078.txt-1934-42,Identical,"By Susan Hubbard Susan Hubbard is the author of Walking on Ice (University of Missouri Press), a collection of stories that received the Associated Writing Programs ' Short Fiction Prize. || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
Fiction_fic_1995_52906.txt-780-16_fiction_mag_1829_553971.txt-99-6,Identical,"His novel, Beyond the Veil of Stars, made the New York Review of Science Fiction's Year's Best List. || It occurs in fact and in fiction, and in either case it is of a high species."
Fiction_fic_2009_36789.txt-198-24_Fiction_fic_1843_7074.txt-24-28,Identical,"Copyright 2009 by Victoria Christopher Murray Library of Congress subject headings for this publication: Bush, Jasmine Larson (Fictitious character) -- Fiction. || Let the book pass for what it is worth: if taken for History, it will be thought I had a somewhat remarkable experience, if for Fiction, that I have tolerable Invention; and then my scull will be in the market -- for the booksellers in my lifetime, -- and the Phrenologists afterwards."
