annotation_lbl,category,sentence
Bits_fic_1856_1281.txt-3685-0_bit_nf_1837_757476.txt-1114-18,Identical,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || Lay the beef in the middle of the sheet of paste, and put on the top a bit of butter rolled in flour."
Bits_fic_1856_1281.txt-3685-0_bits_fic_1966_10469.txt-2680-20,Identical,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || The bitterly cold air had found every loose stitch in Caroline's sweater and now was concentrating on the metal bits of brassiere that touched her skin."
Bits_fic_2009_36638.txt-804-0_bits_fic_1833_7321.txt-3755-25,Closely Related,"Bits of tea leaves clung to the inner curves of the broken cup. || I have been to work on it ever since we was at the RipRaps; and tho ' it has been sometimes all pulled to bits, to git in some notions we didn't think on, yet it will look pritty slick, I tell you when it ' s done; and we will lay on paint enuf to kiver up all the cracks and seams."
Bits_fic_2009_36638.txt-804-0_bits_fic_1853_9158.txt-97-26,Unrelated,"Bits of tea leaves clung to the inner curves of the broken cup. || His horse, endowed as it would seem with an instinctive knowledge of what was in the wind, did not so much as champ its bits, much less paw up the ground, or neigh,"
CIRCLING_fic_1968_24505.txt-2485-4_circle_fic_1839_8627.txt-1994-11,Closely Related,"411 SKY SHOT - CIRCLING BIRDS Sea gulls are soaring overhead. || See how they bear him up upon their wings, And circle him with glory!"
CIRCLING_fic_1968_24505.txt-2485-4_circling_fic_1849_7230.txt-2441-6,Closely Related,"411 SKY SHOT - CIRCLING BIRDS Sea gulls are soaring overhead. || ye lieges all advance, And circling join in merry Morrice dance. """
Chef_fic_1819_8988.txt-1529-15_chef_fic_1830_7266.txt-2405-21,Closely Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || One of the happy effects of our law of entail, is that it fosters genius by preserving in families the chef d'oeuvres of the arts."
Chef_fic_1819_8988.txt-1529-15_chefs_mag_1994_426049.txt-149-1,Distantly Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Smart chefs will use chicken broth instead of butter, but at Mom's table, smart doesn't always cut it."
Chef_fic_1844_3928.txt-1406-9_chef_news_2006_629441.txt-92-6,Distantly Related,"Morrel has received a regiment, and Joliette is Chef d'Escadron of Spahis. || While they were dating, executive chef Jonathan Jones of the Tasting Room took his wife to Empress"
Chef_fic_1850_7304.txt-1678-37_chef_news_2006_629441.txt-92-6,Undecidable,"Il fallut songer ensuite lui donner un successeur, et le choix que l'on fit, fut plus sage, qu'on ne devoit l'attendre de gens, do nt les mains fumoient encore du sang de leur Chef. || While they were dating, executive chef Jonathan Jones of the Tasting Room took his wife to Empress"
Chef_fic_1850_7304.txt-1678-37_chefs_mag_1994_409087.txt-47-2,Undecidable,"Il fallut songer ensuite lui donner un successeur, et le choix que l'on fit, fut plus sage, qu'on ne devoit l'attendre de gens, do nt les mains fumoient encore du sang de leur Chef. || Thousands of chefs have already announced that they will not use any biotech foods that enter the marketplace, even though they've never tasted these foods or learned how they were developed."
Chef_fic_1993_25016.txt-45-24_chef_fic_1848_1108.txt-660-44,Closely Related,"She was getting pretty tired of the instant macaroni-and-cheese suppers she'd been fixing herself, with an occasional chicken potpie or can of Chef Boyardee ravioli thrown in to break the monotony. || He was a young man who much preferred a state of self-satisfaction to humiliation of any sort, and after he had endured Clementina's gaze as long as he could, he said, "" Perhaps you don't allow anybody but the chef to call you that? """
Chef_fic_1995_39408.txt-349-5_chef_nf_1977_774125.txt-1297-15,Distantly Related,""" So, "" the Chef du Village says with a shrug, already scanning down the line. "" || The meaning was pretty clear, but Newsweek spelled it out, saying that the chef "" routinely expresses contempt for women in the kitchen."
Chef_mag_1827_553813.txt-226-40_chef_mag_1836_554393.txt-176-6,Undecidable,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || He boasted of having been a chef de brigade in the republican armies of France; but, such was his ardor in the cause, that he accepted the humble rank of chef de cuisine in the service of Toledo."
Chef_mag_1827_553813.txt-226-40_chef_mag_1986_432289.txt-29-3,Distantly Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || Seppi Renggli, chef of The Four Seasons restaurant in New York, created his own spa cuisine in conjunction with a nutritionist."
Chef_mag_1997_428061.txt-153-6_chef_nf_1977_774125.txt-1297-15,Distantly Related,"13 Admiral LATA300AA $440 16 Magic Chef W227L $460 * 44x27x27 in. || The meaning was pretty clear, but Newsweek spelled it out, saying that the chef "" routinely expresses contempt for women in the kitchen."
Chef_mag_1997_428061.txt-162-1_chefs_nf_1977_774125.txt-1398-15,Undecidable,"Magic Chef has been among the less reliable brands of top-loading machines. || Now, Bocuse knows all this, and he is one of the most brilliant chefs in France."
Chef_news_1977_732998.txt-23-0_chef_mag_2002_397228.txt-0-30,Distantly Related,"Chef Julia Child often brings along a roast lamb sandwich from home. || @@397228 // Hurtling toward American Idol's hotly anticipated climax, finalists Kelly Clarkson, Nikki McKibbin and Justin Guarini savor living large in a mansion equipped with a personal chef (and an on-call shrink) Sunup on L.A.'s Mulholland Drive and the only evidence Tamyra Gray ever dwelled here with the other American Idol finalists is a note she left behind, like some message from a reality-TV ghost."
Chef_news_1977_732998.txt-23-0_chefs_news_1993_655748.txt-41-5,Closely Related,"Chef Julia Child often brings along a roast lamb sandwich from home. || by some of the best-known chefs in America. """
Chef_news_2006_636092.txt-61-0_chefs_nf_1977_774125.txt-1398-15,Closely Related,"Chef John Coletta has gone all out and fashioned a very enjoyable menu of Italian dishes that delight and at times dazzle. || Now, Bocuse knows all this, and he is one of the most brilliant chefs in France."
Chefs_news_1994_641063.txt-27-0_chef_nf_1991_774072.txt-1394-40,Identical,"Chefs throughout the country favor merlot in their brown sauces for its appropriately soft texture - velvet wine in a satin sauce. || A traditional recipe is given in chapter 4, but, as noted there, different herbs and vegetables can be used, depending on the type of fish being prepared, the region, and the whim of the chef."
Circle_fic_2007_52477.txt-270-44_circling_fic_1960_10398.txt-5951-5,Undecidable,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || Knau and I will keep circling to the right."
Circle_fic_2007_52477.txt-270-44_circling_fic_1994_54062.txt-687-3,Undecidable,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || More Gothas were circling above and below, propellers churning through the murk, their familiar Wong-wong filling the fog."
Circle_nf_2006_775510.txt-112-0_circling_fic_1964_10451.txt-458-31,Closely Related,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || Lee could not allow anyone to be behind her, and she didn't like to stand against the wall the way the others did, so she had to keep circling relentlessly to "" keep everyone properly placed. """
Circled_fic_1811_8637.txt-163-27_circling_nf_1849_749269.txt-626-4,Distantly Related,"When brothers are at variance, could they think On one tear a mother shed on them, That woke their slumbers, while their infant arms Circled each other's neck, ' t would surely quench All sparks of strife within their breasts for ever. || he said again, circling back to his favorite maxim."
Circled_fic_1837_8325.txt-1223-14_circling_nf_1849_749269.txt-626-4,Distantly Related,"Thy pleasant spot of birth Is sad without thee, and an ancient head Circled with years and blessings as a crown Bows low with the first pang thou e'er didst cause A father's bosom. || he said again, circling back to his favorite maxim."
Circled_fic_1837_8687.txt-961-1_Circle_nf_2006_775510.txt-112-0,Distantly Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five?"
Circled_fic_1837_8687.txt-961-1_circled_fic_1845_7162.txt-1633-28,Closely Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || A broad-brimmed, low-crowned and long-napped white hat, set forth assuredly to the best advantage his rotund, rubicund, good-humored phiz; a clean white handkerchief circled his sturdy neck, on the volumnious folds of which reposed in placid dignity the mighty collops of his double chin."
Circled_fic_1837_8687.txt-961-1_circled_fic_2000_32016.txt-215-2,Distantly Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || Must have circled back when he wasn't looking."
Circled_fic_1837_8687.txt-961-1_circling_fic_1849_7230.txt-2441-6,Distantly Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || ye lieges all advance, And circling join in merry Morrice dance. """
Circled_fic_1853_7455.txt-317-9_circled_fic_1989_780083.txt-2098-19,Closely Related,"So she stood in this Palace of Pleasure, Circled round by the Swans of Delight. || As soon as he got there, a host of white flowers flew up from under his feet and circled above him anxiously like startled pigeons."
Circled_fic_1853_7455.txt-317-9_circling_nf_1849_749269.txt-626-4,Distantly Related,"So she stood in this Palace of Pleasure, Circled round by the Swans of Delight. || he said again, circling back to his favorite maxim."
Circled_mag_1840_554815.txt-207-38_circling_fic_1854_70.txt-2012-8,Distantly Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || Or sometimes I watched a pair of hen-hawks circling high in the sky, alternately soaring and descending, approaching, and leaving one another, as if they were the embodiment of my own thoughts."
Circling_fic_1849_2605.txt-638-26_circled_fic_1852_593.txt-1202-17,Closely Related,"I love to see him track the street, With his wary eye and active feet; And I often watch him as he springs, Circling the steeples with easy wings, Till across the dial his shade has pass'd, And the belfry edge is gained at last. ' || Those pleasantly swelling slopes of our farm, descending towards the wide meadows, through which sluggishly circled the brimful tide of the Charles, bathing the long sedges on its hither and farther shores; the broad, sunny gleam over the winding water; that peculiar picturesqueness of the scene where capes and headlands put themselves boldly forth upon the perfect level of the"
Circling_fic_1852_8028.txt-398-39_circle_fic_1833_7028.txt-1089-12,Closely Related,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || Acquirement thus made will feed itself: circle will be added to circle by the strengthening impulse of gratified curiosity: the conformity to nature will make the acquisition more substantial and the"
Circling_fic_1854_7839.txt-1328-0_circling_mag_1822_553415.txt-75-11,Closely Related,"Circling mountains, purple beaming, Lured his soul to constant dreaming, -- Ever dreaming, ever scheming, -- On and upward was his gaze. || graceful rainbow, now arching over our heads, and now circling in the vapour at our feet, still flew before us as we moved."
Circling_fic_1854_8328.txt-3829-0_circling_fic_1849_7230.txt-2441-6,Identical,"Circling over thy bosom of blue The light, graceful gull was afloat, And gravelly Bluff Point loomed to view From the deck of our beautiful boat. || ye lieges all advance, And circling join in merry Morrice dance. """
Donkey_fic_1987_782034.txt-8660-41_donkey_fic_1843_7039.txt-3001-5,Distantly Related,"Well, hell, Marty, "" said Kramer, figuring that, having been a fellow soldier with him in the bullshit skirmish at Reverend Bacon's, he could go on a nickname basis with the dauntless little Irish Donkey, "" the kids || Even the poor, despised donkey is changed by its magic influence."
Donkeys_fic_1860_616.txt-1354-0_donkeys_nf_1838_747585.txt-438-30,Identical,"Donkeys, bearing panniers stuffed out with kitchen vegetables, and requiring an ample roadway, roughly shouldered aside the throng. || As she grew up, she went out occasionally alone; and even among the Turks her interesting little figure made her a favourite; and when all the other donkeys were idle, hers was sure to be engaged."
Edge_fic_1995_39362.txt-141-9_edge_nf_1827_747521.txt-883-28,Undecidable,"It was from her own set, "" Blue Edge. "" || ; then join A F, F G, and G H, and describe the pa-abohcal parts A I, and K H, and the under edge of the falling mould will be completed; the upper edge will be formed by drawing a line parallel to it, equal to the thickness of the rail."
Edge_news_2006_604826.txt-2-3_edge_fic_2007_34283.txt-0-19,Undecidable,"At Canaan's Edge: America in the King Years 1965-68 (Simon &; Schuster, $35), the final volume in Branch's monumental series, is out this week. || @@8283 Chapter One ' MY ANCESTORS WERE COUNTRY SQUIRES ' The village of Hutton Le Moors lies on the edge of the Yorkshire Moors, a dozen miles from the small town of Pickering."
Edges_fic_1845_7103.txt-0-3_edge_fic_1985_10731.txt-8264-5,Closely Related,"@@104 Covers, Edges and Spine Main text HARRY HAREFOOT. || He pushed it over the edge and leaped after it."
Edges_fic_1845_7103.txt-0-3_edge_fic_1987_23990.txt-44-12,Distantly Related,"@@104 Covers, Edges and Spine Main text HARRY HAREFOOT. || I sensed their bad intent as they passed us, an unpleasant edge of excitement in their looks and greetings."
FACE_fic_1982_16205.txt-3401-19_face_news_2004_617201.txt-34-2,Distantly Related,"FREEZE FRAME on Swann's broadly smiling face: DISSOLVE TO: Section Details 236 CLOSEUP - BENJY 'S FACE He's a little older and he looks a little healthier. || In the face of such statistics, researchers are exploring which children seem to survive -- even thrive -- after a divorce."
FICTION_fic_1845_7316.txt-119-9_FICTION_fic_1994_54031.txt-0-3,Identical,"VIEWS &; REVIEWS OF AMERICAN HISTORY, LITERATURE &; FICTION. || @@16031 Section: FICTION In the dream, I arrive at an airbase somewhere twenty years after having flown an airplane."
FICTION_fic_2002_14169.txt-1008-0_fictions_nf_1845_771333.txt-565-18,Closely Related,"FICTION FACT 'LL OFTEN ACT OFFICIOUS FACT LEAST I 'LL NEVER BE FICTITIOUS BOTH WE 'VE BEEN BOOKED AT THE PALACEWE 'VE BEEN BOOKED || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
FICTION_fic_2002_14169.txt-1013-17_fiction_nf_1993_774078.txt-1934-42,Closely Related,"PLEASE, I BEG YA, DO N'T PROVOKE ' IMALL YOU 'LL EVER GET IS HOKUM FICTION WHAT IF I CHANGE THE NAMES A LITTLE? || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
FICTION_mag_1979_293342.txt-0-1_fictions_nf_1845_771333.txt-565-18,Closely Related,"@@293342 FICTION: A Bend in the River, V.S. || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
FICTION_mag_1981_294936.txt-0-4_fiction_nf_1993_774078.txt-1934-42,Closely Related,"@@294936 Editors ' Choice FICTION: The Book of Laughter and Forgetting, Milan Kundera A Book of Women Poets from Antiquity to Now, edited by Aliki Barnstone and Willis Barnstone The Collected Stories of Eudora Welty, Eudora Welty Crackers, Roy Blount Jr. || Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover."
Faces_news_1986_670424.txt-2-0_face_mag_1834_554263.txt-165-90,Closely Related,"Faces 20 Years in Prison // In all, Mr. McLaughlin, a lawyer, faces 20 years in prison and automatic disbarment, although a prison sentence for more than the maximum on one count, 7 years, would be unlikely. || They had stolen two days ' march upon the English army, before the Duke of Cumberland knew any thing of their movements: but when it was ascertained that they had aclually commenced their retreat, his courage and that of his army began to rise; it seemed to be the first time they had breathed freely for six weeks, during which a small and ill appointed force had carried the standard of Glenfinnin a hundred and fifty miles into the heart of England, in the face of a hostile people, and of an army which immeasurably exceeded theirs in discipline and numbers."
Fiction_fic_1838_7085.txt-189-13_fiction_news_1993_624887.txt-87-7,Closely Related,""" Fierce War, and faithful Love, And Truth severe by fairy Fiction dress'd. "" || There's sex in literary works of fiction, but very few books go directly at what it is. """
Fiction_fic_2008_36152.txt-213-12_fiction_news_2004_661021.txt-44-32,Closely Related,"Library of Congress subject headings for this publication: Women cartoonists -- Fiction. || Martha Stewart awaits sentencing for lying to investigators; 28 top federal employees hold fake degrees; journalists at USA Today, The New York Times, and The Nation have presented fiction as fact."
Fiction_mag_1999_407438.txt-17-23_fiction_mag_1978_319925.txt-11-20,Undecidable,"But perverse prizes have become the Cannes norm; there hasn't been a truly popular Palme d'Or winner since 1994's Pulp Fiction. || Shaw spent five decades writing big movies and novels (The Young Lions, Lucy Crown) and unprofitable short fiction, because "" in a novel or a play you must be a whole man."
Fiction_mag_2004_385610.txt-94-8_fictions_fic_1989_14343.txt-309-40,Undecidable,"How has movie culture changed since "" Pulp Fiction ""? || FIRST GIRL Yet, there is abundant evidence from their songs and cherished traditions that Australian aborigines are by no means destitute of some qualities in which civilized men glory, such as the power of inventing tragic and sarcastic fictions, the thirst for religious mystery, contempt for pain, and reverence for departed friends and ancestors."
Gas_mag_1963_478107.txt-2-23_gas_news_2005_608686.txt-4-27,Distantly Related,"The National Flog Farmer, published at Grundy Center, Iowa, has announced: Manure Smell Furnishes Farmstead's Power Needs; Gas Produced From Dung: Fertilizer Value Saved. || American Electric Power said it will pay $81 million to settle a lawsuit and investigations by federal regulators who accused the utility's traders of manipulating natural gas prices."
Gas_nf_1845_747909.txt-234-2_gases_nf_1843_752682.txt-216-4,Identical,"Analysis of Gas on the Exterior and in the Interior of the Soap Bubble. || This property of absorbing gases varies with different kinds of charcoal: it is possessed in a higher degree by those containing the most pores, i.e. where the pores are finer; and in a lower degree in the more spongy kinds, i.e. where the pores are larger."
Graft_fic_1827_7168.txt-307-138_grafts_mag_1851_566097.txt-140-28,Undecidable,"becomes apparent, people have to fear nothing more wicked than their own evil minds, the place hath been less regarded, as the other portions of the island are more closely settled; but in the days of the pirate Kid, the sole representative of the famous town of Harlaem in the new world, consisted of one broad long roofed cottage, which indeed, in the consequence of its owner, might have vied with its rival in den bosch, ' -- for suiting to its lofty pretensions, though the building was of one story, and the eaves almost kissed the ground, yet the gable ends soared steeply up like a pyramid, and were both ornamented by points or stairs, in the true style of the Keysar Graft, the Harring Vliet, and the Bompies; from the centre of the mansion arose a sort of structure that appeared like a pigeon house, containing one huge long door, used for the reception of goods, and although at the top of the edifice, was the place || Wherever there is an old pear tree, bearing those miserable representations of that fruit, that we see in most of our country towns, a few grafts of fine varieties put into its top, will in two or three years bear such specimens as can not be excelled for beauty and flavor."
Graft_mag_2000_413181.txt-288-10_graft_mag_1976_291145.txt-21-13,Identical,"For further reading, try: Eureka: Gold, Graft and Grievances, by B. and B. || Among its first official acts was the appointment of a committee to probe graft."
Graft_mag_2000_413181.txt-288-10_grafts_nf_1858_747890.txt-606-43,Distantly Related,"For further reading, try: Eureka: Gold, Graft and Grievances, by B. and B. || It would be more nearly correct to say, that the, duration of a variety is limited more or less by that of its original, and that any inherent disease in it will be continued, in all its buds and grafts, although the superior vitality of the stock may mitigate its virulence, or protract its dormant period."
Graft_nf_1999_774959.txt-51-1_graft_nf_1839_747931.txt-291-1,Distantly Related,"// Graft, gambling, and prostitution were not Port Arthur's only distinguishing features. || The graft is prepared by cutting it in a sloping manner in a reverse position, so that when placed on the cut of the stock it forms a neat splice."
Grafts_nf_1850_747863.txt-404-1_graft_nf_1980_774261.txt-641-30,Distantly Related,"/z/ Grafts which have become dry, may be restored if the moisture is applied so gradually that its absorption may re quire several weeks. || Lung transplants done in 32 patients during the last ten years have been quite disappointing, with only 3 patients living for more than thirty days | with a functioning graft."
Grafts_nf_1858_747890.txt-616-0_graft_mag_1969_214820.txt-18-23,Distantly Related,"Grafts taken - from the upright shoots near the top of the tree are apt to make a vigorous and upright growth, but are more tardy in bearing. || When any vertebrate animal is "" invaded "" by foreign proteins-whether bacteria, viruses, or tissues from another animal as in a graft or transplant-the invaders soon meet one of the host's body cells that is armed with the appropriate antibody."
Grafts_nf_1858_747890.txt-616-0_graft_mag_1976_291145.txt-21-13,Distantly Related,"Grafts taken - from the upright shoots near the top of the tree are apt to make a vigorous and upright growth, but are more tardy in bearing. || Among its first official acts was the appointment of a committee to probe graft."
Grafts_nf_1858_747890.txt-616-0_graft_mag_1979_480051.txt-9-19,Distantly Related,"Grafts taken - from the upright shoots near the top of the tree are apt to make a vigorous and upright growth, but are more tardy in bearing. || : they support Stroessner for what they can get, and in addition to land, this includes govern-ment graft, contraband, and revenue from narcotics and prostitution."
LASS_fic_1989_13956.txt-513-4_lasses_fic_1824_7211.txt-2276-17,Identical,"DICKON SHE 'S A LASS AND THA ART ' RIGHT, AS NEEDS A SPOT WHERE SHE CAN REST IN. || The morning rose that ushered in the potato digging-day, in which numerous throngs of lads and lasses dressed in their best attire, with light and merry hearts came from all parts of the adjacent country, into the town of Larne; the lads to march to the work of charity and benevolence, the lasses to witness the procession, and reward their lovers as they passed them with their smiles."
Landing_fic_1988_10768.txt-733-4_lands_nf_1833_747716.txt-366-18,Undecidable,"As well established as Landing was, one was still supposed to report anything unusual on Pern. || those sections, his conclusion was, that the ordinance contained no authority to a sub-delegate to grant lands in reward of any other services, of which description were those rendered by Soulard."
