annotation_lbl,category,sentence
MaxIm_mag_2004_413046.txt-47-7_maxim_fic_1835_7133.txt-1935-29,Undecidable,"Such familiar software names as TheSky, MaxIm DL, and Astronomer's Control Panel are installed on his machines. || inquired a young Bostonian, forgetful of his orthodox habits -- last Sabbath evening, twirling while he spoke a ticket in his fingers -- "" you know the maxim -- when one is in Rome "" -- "" I have not been here quite long enough yet to apply the rule, "" said I; "" is not the theatre open on other evenings of the week? """
MaxIm_mag_2004_413046.txt-47-7_maxim_mag_1994_425913.txt-107-45,Undecidable,"Such familiar software names as TheSky, MaxIm DL, and Astronomer's Control Panel are installed on his machines. || At Re-Imagining, the audience was invited to supply its own names for God: divine ancestor, mother God, lover, alpha and omega, fire of love, she who is eternal, Sophia, earth mother, spirit woman, cosmic maxim, ninjan, womb of creation, prime mover, and yin and yang."
Maxim_fic_1963_16356.txt-79-8_maxim_mag_1849_525201.txt-349-29,Undecidable,"NARRATOR 'S VOICEIf you want a night-cap at Maxim's, it's too late -- it's been closed for hours. || And instead of laying so much stress on opinion, as if this were the only matter of unity, how much better would it be to remember the maxim acted upon of old, by different parties in the Church, that "" Catholics, as Catholics, agree always in matters of faith, and good Catholics never break charity, but the best Catholics, as men, may vary in their opinions"
Maxim_fic_1969_10521.txt-571-8_Maxim_fic_1963_16356.txt-79-8,Undecidable,"Gregory had a chef who had worked at Maxim's in Paris. || NARRATOR 'S VOICEIf you want a night-cap at Maxim's, it's too late -- it's been closed for hours."
Maxim_nf_1994_773479.txt-114-34_Maxim_fic_1963_16356.txt-79-8,Undecidable,"The St. Louis native had picked up most of his boxing experience in the military service, where he fought exhibition bouts with Joe Louis and former lightheavyweight champion of the world, Joey Maxim. || NARRATOR 'S VOICEIf you want a night-cap at Maxim's, it's too late -- it's been closed for hours."
PROPS_mag_2006_386389.txt-5-0_PROPS_mag_2003_414419.txt-29-0,Identical,"PROPS: A blast going fast, but you can feather it into slow turns too. || PROPS: This ski won't crack under the serious pressure of the biggest racers."
Plane_mag_1844_555220.txt-284-1_plane_fic_1995_39282.txt-1548-35,Undecidable,"The Plane or Buttonwood tree, so common in our streets and environs, has hitherto || She'd insisted on ironing his linen suit herself, placing one of her monogrammed handkerchiefs between the searing hot iron and the material, because she didn't want him looking rumpled on the plane, and she said the maid always ended up leaving scorch marks on his father's clothes."
Plane_mag_1844_555220.txt-284-1_plane_nf_1836_748113.txt-1787-11,Undecidable,"The Plane or Buttonwood tree, so common in our streets and environs, has hitherto || So if the trace of the plane be in the horizontal plane, and parallel to the ground - line, the plane will be parallel to the vertical plane."
Player_news_1993_630359.txt-52-23_players_mag_1817_552906.txt-34-42,Distantly Related,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || In quiet seasons, when the state seems an invisible trifle to be talked about only, and men's consciences can sleep under their duties, they are very willing to listen to a fine orator as they would to the players; they are entertame (l by his frolicks, and give in to all his illusions as they would to the fairy work of a dream."
Player_news_1993_630359.txt-52-23_players_mag_1853_566330.txt-85-13,Distantly Related,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || But these tricks will at length fail to pay; and then the players of the game, having nothing to do, must be added to the ranks of the discontented."
Players_mag_2004_414611.txt-17-0_player_mag_1997_68233.txt-15-32,Identical,"Players will not be able to reach this fairway into a 15-to 20-mile-an-hour wind, "" says Micheel. "" || Frost, who had sat out the Cornhuskers ' previous series, returned to the huddle and heard what were believed to be the first concerted boos ever directed toward a home player in Memorial Stadium's 74-year history. """
Players_mag_2004_414611.txt-17-0_players_mag_1823_553496.txt-80-3,Identical,"Players will not be able to reach this fairway into a 15-to 20-mile-an-hour wind, "" says Micheel. "" || // rius1 the players were, in consequence, banished from Italy."
Players_mag_2004_414611.txt-17-0_players_mag_1994_63618.txt-68-2,Identical,"Players will not be able to reach this fairway into a 15-to 20-mile-an-hour wind, "" says Micheel. "" || Only nine players came out for the team last year, and none was named McDuffy. """
RECORDS_fic_1827_7169.txt-0-35_record_mag_2000_403677.txt-77-3,Distantly Related,"@@170 THE Buccaneers; A ROMANCE OF OUR OWN COUNTRY IN ITS ANCIENT DAY; ILLUSTRATED WITH DIVERS MARVELLOUS HISTORIES, AND ANTIQUE AND FACETIOUS EPISODES; GATHERED FROM THE MOST AUTHENTIC CHRONICLES &; AFFIRMED RECORDS EXTANT FROM THE Settlement of the Nieuw Nederlandts UNTIL THE TIMES OF THE FAMOUS RICHARD KID: CAREFULLY COLLATED FROM THE LABORIOUS RESEARCHES, AND MINUTE INVESTIGATIONS, OF THAT EXCELLENT ANTIQUARY AND SUBLIME PHILOSOPHER, YCLEPT TERENTIUS PHLOGOBOMBOS. || (For the record, reversing letters is not an indicator of a learning disability in preschoolers."
Rally_mag_1987_335360.txt-1-38_rally_fic_1842_9749.txt-1469-3,Distantly Related,"But when Premier Jacques Chirac last week denounced the "" demagogy of a certain political discourse "" that has been loosed of late on France, none of the 70,000 people attending the biennial convention of Chirac's Rally for the Republic Party had the slightest doubt as to the object of his scorn. || , let me rally our brave men again, And cheer their drooping spirits for the fight."
Record_mag_1980_485877.txt-172-10_record_fic_1844_800.txt-888-18,Closely Related,"But perhaps the most interesting experiment anywhere is The Union Record (Seattle), the labor daily which, on the President's arrival in that city, dared, to the horror of the correspondents accompanying him, || The Gracchi, Agis, Cleomenes, and others of Plutarch's heroes, do not in the record of facts equal their own fame."
Record_mag_1980_485877.txt-172-10_record_fic_1848_7193.txt-7829-13,Closely Related,"But perhaps the most interesting experiment anywhere is The Union Record (Seattle), the labor daily which, on the President's arrival in that city, dared, to the horror of the correspondents accompanying him, || Can you find in the page of any history, -- in the record of any age or country -- a Spirit at once so loving and so actual"
Record_mag_1980_485877.txt-172-10_record_mag_1979_480129.txt-233-1,Distantly Related,"But perhaps the most interesting experiment anywhere is The Union Record (Seattle), the labor daily which, on the President's arrival in that city, dared, to the horror of the correspondents accompanying him, || The record of the electric power industry, in abstaining from breaking such negative, prohibiting rules"
Record_mag_1980_485877.txt-172-10_record_mag_1998_399430.txt-31-10,Unrelated,"But perhaps the most interesting experiment anywhere is The Union Record (Seattle), the labor daily which, on the President's arrival in that city, dared, to the horror of the correspondents accompanying him, || New England's seven pathetic yards is a Super Bowl record."
Strokes_fic_1860_8596.txt-1078-1_stroking_fic_1853_9805.txt-1013-11,Closely Related,"-- Strokes his chin -- all laugh and exit, R. H. Rip. || "" Yes, indeed, "" said her aunt, fondly stroking her head. """
Stroking_fic_2003_29392.txt-324-0_stroke_fic_1828_8204.txt-680-10,Identical,"Stroking its great fierce head, he lifted the heavy antennae, still moist and curled, and let the creature taste the flavor of his skin until it was entirely under his command. || Attempt to lead him with a silken string, To stroke his bristled mane and gaily pat His iron scales?"
Stroking_fic_2003_29392.txt-324-0_strokes_fic_1990_53266.txt-621-1,Identical,"Stroking its great fierce head, he lifted the heavy antennae, still moist and curled, and let the creature taste the flavor of his skin until it was entirely under his command. || He strokes her hair, then looks up at me and tells me with his eyes to mourn us all."
Tip_fic_1846_8819.txt-1554-0_tipped_fic_2006_51727.txt-63-8,Unrelated,"Tip us your bone, says I, and make yourself welcome. || Seth swerved so that one of the mirrors tipped and scratched Mary's arm. """
attack_fic_1838_7086.txt-2732-33_attack_mag_1828_553929.txt-364-34,Distantly Related,"being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "" || Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire."
attack_fic_1839_7024.txt-2377-9_attack_news_1994_606745.txt-26-26,Identical,"I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house. || In the heat of their anger, many Israelis interviewed today expressed frustration with the fruits of peace and Rabin's strategy for securing citizens against attack. """
attack_fic_1839_7024.txt-2377-9_attacks_fic_1859_9037.txt-2260-41,Distantly Related,"I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house. || Ferris had naturally a robust constitution, and it was slow in confessing the sapping and mining process that had been going on ever since he was born, so that he had had many of what he called "" singular attacks "" before he felt permanently the worse for them."
attack_fic_1844_3928.txt-3118-8_attacks_news_1991_612479.txt-40-20,Distantly Related,"yelled the populace, but they made no attack. || The AIDS virus insinuates itself into the genetic makeup of T cells, destroying them or preventing them from orchestrating attacks on disease organisms."
attack_fic_1848_7009.txt-1181-32_attack_mag_1854_555935.txt-131-30,Closely Related,"I gathered from him enough to convince me that my fears, which I have already spoken of, were true; and as I afterwards heard the facts of that fatal attack, I will here relate them to you. "" || 18* // The development of Comte's system, after the outlines of it had been completed in his own mind, was delayed, in 1826, by an attack of mental disease, from which, if it had been left to take its own course, he thinks he should have speedily recovered."
attack_fic_1854_9193.txt-8301-13_attack_mag_1854_555935.txt-131-30,Closely Related,"But then, the work itself, with the exception of a feeble attack now and then from the prolific pen of Skimmer, (who wrote for several publications,) was noticed by the press with favour. || 18* // The development of Comte's system, after the outlines of it had been completed in his own mind, was delayed, in 1826, by an attack of mental disease, from which, if it had been left to take its own course, he thinks he should have speedily recovered."
attack_fic_1854_9193.txt-8301-13_attacks_fic_1853_9142.txt-2686-17,Closely Related,"But then, the work itself, with the exception of a feeble attack now and then from the prolific pen of Skimmer, (who wrote for several publications,) was noticed by the press with favour. || I have been in the country a little more than three months; and have had several attacks of the fever."
attack_fic_1856_2470.txt-7252-13_attack_news_1967_726451.txt-39-2,Identical,"commenced the life of a pioneer, and that, in a night attack, his cabin had been burned, his wife killed, and his son carried away by the savages. || Faisal under attack With the exception of heavy Algerian and Sudanese involvement, the degree of other Arab militancy drops rapidly in direct proportion to distance from Israel."
attack_fic_1968_781997.txt-4233-2_attack_fic_1844_3928.txt-3118-8,Closely Related,"The dreadful attack upon Crystal Knox had been the more dramatic aspect of it; but the fact that, even after that warning, Ted had actually been about to let himself be dragged into the vortex of the so-called "" Peace Party "" movement was, in Ceil's mind, far more fundamental and frightening || yelled the populace, but they made no attack."
attack_fic_2009_36778.txt-461-18_attack_fic_1848_7009.txt-1181-32,Closely Related,"I didn't mean it to come out that harshly, but damn it, I felt under attack here. || I gathered from him enough to convince me that my fears, which I have already spoken of, were true; and as I afterwards heard the facts of that fatal attack, I will here relate them to you. """
attack_fic_2009_36778.txt-461-18_attack_mag_1828_553929.txt-364-34,Identical,"I didn't mean it to come out that harshly, but damn it, I felt under attack here. || Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire."
attack_fic_2009_36778.txt-461-18_attack_mag_1854_555935.txt-131-30,Closely Related,"I didn't mean it to come out that harshly, but damn it, I felt under attack here. || 18* // The development of Comte's system, after the outlines of it had been completed in his own mind, was delayed, in 1826, by an attack of mental disease, from which, if it had been left to take its own course, he thinks he should have speedily recovered."
attack_mag_1845_555245.txt-299-1_attack_news_1967_726451.txt-39-2,Identical,"The attack of the Boston Teachers upon the Board of Education and its Secretary has failed, - signally and disgracefully failed. || Faisal under attack With the exception of heavy Algerian and Sudanese involvement, the degree of other Arab militancy drops rapidly in direct proportion to distance from Israel."
attack_mag_1854_555935.txt-131-30_attack_fic_1856_2470.txt-7252-13,Distantly Related,"18* // The development of Comte's system, after the outlines of it had been completed in his own mind, was delayed, in 1826, by an attack of mental disease, from which, if it had been left to take its own course, he thinks he should have speedily recovered. || commenced the life of a pioneer, and that, in a night attack, his cabin had been burned, his wife killed, and his son carried away by the savages."
attack_news_1967_726451.txt-39-2_attack_fic_1844_3928.txt-3118-8,Closely Related,"Faisal under attack With the exception of heavy Algerian and Sudanese involvement, the degree of other Arab militancy drops rapidly in direct proportion to distance from Israel. || yelled the populace, but they made no attack."
attack_news_1967_726451.txt-39-2_attack_fic_1854_9193.txt-8301-13,Closely Related,"Faisal under attack With the exception of heavy Algerian and Sudanese involvement, the degree of other Arab militancy drops rapidly in direct proportion to distance from Israel. || But then, the work itself, with the exception of a feeble attack now and then from the prolific pen of Skimmer, (who wrote for several publications,) was noticed by the press with favour."
attack_news_1994_606745.txt-26-26_attack_fic_2009_36778.txt-461-18,Identical,"In the heat of their anger, many Israelis interviewed today expressed frustration with the fruits of peace and Rabin's strategy for securing citizens against attack. "" || I didn't mean it to come out that harshly, but damn it, I felt under attack here."
attack_news_1998_626765.txt-4-8_attack_fic_1839_7024.txt-2377-9,Closely Related,"In 1835, when Ben Milam ordered an attack on San Antonio, one group refused to obey the order until Arnold could return from a scouting trip to lead them. || I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house."
attack_news_1998_626765.txt-4-8_attack_fic_1844_3928.txt-3118-8,Distantly Related,"In 1835, when Ben Milam ordered an attack on San Antonio, one group refused to obey the order until Arnold could return from a scouting trip to lead them. || yelled the populace, but they made no attack."
attack_news_1998_626765.txt-4-8_attack_news_1967_726451.txt-39-2,Identical,"In 1835, when Ben Milam ordered an attack on San Antonio, one group refused to obey the order until Arnold could return from a scouting trip to lead them. || Faisal under attack With the exception of heavy Algerian and Sudanese involvement, the degree of other Arab militancy drops rapidly in direct proportion to distance from Israel."
attacks_fic_1853_9142.txt-2686-17_attack_fic_2009_36778.txt-461-18,Closely Related,"I have been in the country a little more than three months; and have had several attacks of the fever. || I didn't mean it to come out that harshly, but damn it, I felt under attack here."
attacks_fic_1859_9037.txt-2260-41_attack_news_1994_606745.txt-26-26,Distantly Related,"Ferris had naturally a robust constitution, and it was slow in confessing the sapping and mining process that had been going on ever since he was born, so that he had had many of what he called "" singular attacks "" before he felt permanently the worse for them. || In the heat of their anger, many Israelis interviewed today expressed frustration with the fruits of peace and Rabin's strategy for securing citizens against attack. """
attacks_news_1966_725841.txt-34-33_attack_fic_1839_7024.txt-2377-9,Closely Related,"They feel the war in Vietnam could be concluded honorably if only the parties concerned accepted U Thant's three points, beginning with the first which calls for the suspension of air attacks on North Vietnam. || I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house."
attacks_news_1966_725841.txt-34-33_attack_fic_2009_36778.txt-461-18,Distantly Related,"They feel the war in Vietnam could be concluded honorably if only the parties concerned accepted U Thant's three points, beginning with the first which calls for the suspension of air attacks on North Vietnam. || I didn't mean it to come out that harshly, but damn it, I felt under attack here."
attacks_news_1991_612479.txt-40-20_attack_fic_1968_781997.txt-4233-2,Closely Related,"The AIDS virus insinuates itself into the genetic makeup of T cells, destroying them or preventing them from orchestrating attacks on disease organisms. || The dreadful attack upon Crystal Knox had been the more dramatic aspect of it; but the fact that, even after that warning, Ted had actually been about to let himself be dragged into the vortex of the so-called "" Peace Party "" movement was, in Ceil's mind, far more fundamental and frightening"
ball_fic_1842_555.txt-2985-38_ball_mag_1970_479117.txt-88-13,Unrelated,"There, once in a while, was seen the thin, care-worn, melancholy visage of an old tory, with a Wig that, in times long past, had perhaps figured at a Province House ball. || They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone."
ball_fic_1854_9218.txt-3589-17_ball_fic_1842_555.txt-2985-38,Identical,"He never came near me all day, and toward night I began to dress for the ball. || There, once in a while, was seen the thin, care-worn, melancholy visage of an old tory, with a Wig that, in times long past, had perhaps figured at a Province House ball."
ball_fic_1854_9218.txt-3589-17_balls_fic_1852_2364.txt-2112-3,Unrelated,"He never came near me all day, and toward night I began to dress for the ball. || Hatchie extracted the balls from this one, and loaded the pair with one ball each, leaving the unmatched one blank."
ball_fic_1854_9218.txt-3589-17_balls_mag_1854_566434.txt-121-2,Unrelated,"He never came near me all day, and toward night I began to dress for the ball. || of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand."
ball_fic_2000_27978.txt-555-1_balls_fic_1842_7206.txt-3298-50,Unrelated,"eight ball, but I 'm going to drag her down to Be-Stitched the minute she gets here and force her to make a decision. "" || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
ball_fic_2008_36315.txt-261-17_balls_fic_1842_7206.txt-3298-50,Unrelated,"Wedging myself into the pack, I tried to make a grab at the man with the ball. || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
ball_mag_1835_554348.txt-508-19_ball_fic_2000_27978.txt-555-1,Identical,"The a-frighted birds fled swiftly, gathering themselves into a mass so dense, that it resembled a black ball. || eight ball, but I 'm going to drag her down to Be-Stitched the minute she gets here and force her to make a decision. """
ball_mag_1970_479117.txt-88-13_ball_fic_2006_27868.txt-115-4,Identical,"They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone. || As always, the ball exploded off his club face and rode the soft wind to disappear beyond the sloping fairway and run a dozen yards farther, leaving him a short iron to the green."
ball_mag_1970_479117.txt-88-13_ball_nf_1838_747482.txt-1194-43,Unrelated,"They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone. || Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling."
ball_mag_1970_479117.txt-88-13_balls_fic_1852_2364.txt-2112-3,Identical,"They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone. || Hatchie extracted the balls from this one, and loaded the pair with one ball each, leaving the unmatched one blank."
ball_mag_1988_90553.txt-39-23_ball_mag_2004_413914.txt-69-11,Identical,"Dowis, who hails from Ty Cobb's hometown of Royston, Ga., is quick-footed and quick-witted, able to flip the ball to a trailing halfback at the last split second. || That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."
ball_mag_2004_413914.txt-69-11_balls_fic_1839_7088.txt-3560-5,Identical,"That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says. || I believe a score of balls struck my person, yet they seemed to fall from my cloak harmlessly like hailstones. """
ball_mag_2004_413914.txt-69-11_balls_fic_1842_7206.txt-3298-50,Unrelated,"That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says. || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
ball_nf_1838_747482.txt-1194-43_ball_fic_1854_9218.txt-3589-17,Identical,"Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling. || He never came near me all day, and toward night I began to dress for the ball."
balls_fic_1842_7206.txt-3298-50_ball_mag_1988_90553.txt-39-23,Unrelated,"And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch. || Dowis, who hails from Ty Cobb's hometown of Royston, Ga., is quick-footed and quick-witted, able to flip the ball to a trailing halfback at the last split second."
balls_fic_1842_7206.txt-3298-50_balls_nf_1979_774342.txt-1216-30,Unrelated,"And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch. || The teacher tells his students how poorly they have done on the midterm exam, hands clasped behind him as he shifts back and forth from the heels to the balls of his feet."
balls_fic_1852_2364.txt-2112-3_ball_mag_2004_413914.txt-69-11,Identical,"Hatchie extracted the balls from this one, and loaded the pair with one ball each, leaving the unmatched one blank. || That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."
balls_fic_1852_2364.txt-2112-3_balls_fic_1842_7206.txt-3298-50,Unrelated,"Hatchie extracted the balls from this one, and loaded the pair with one ball each, leaving the unmatched one blank. || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
balls_mag_1854_566434.txt-121-2_balls_fic_1839_7088.txt-3560-5,Closely Related,"of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand. || I believe a score of balls struck my person, yet they seemed to fall from my cloak harmlessly like hailstones. """
balls_mag_1854_566434.txt-121-2_balls_fic_1842_7158.txt-667-25,Undecidable,"of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand. || He aimed right at the fleshy part of his heart, but the bear dodged at the flash, and rared up, and the balls went into his two hind legs, jist by the jynt, one into each"
balls_mag_1854_566434.txt-121-2_balls_mag_1967_140077.txt-264-5,Identical,"of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand. || There were now about 20 balls, many of them shockingly bright and pristine, with not a mark on them except perhaps, as I imagined suddenly, a small PC for Paul Christman stamped on the cover."
balls_mag_1967_140077.txt-264-5_ball_mag_1970_479117.txt-88-13,Identical,"There were now about 20 balls, many of them shockingly bright and pristine, with not a mark on them except perhaps, as I imagined suddenly, a small PC for Paul Christman stamped on the cover. || They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone."
balls_mag_1985_432241.txt-96-3_ball_fic_1854_9218.txt-3589-17,Unrelated,"Covered with metallic balls for discharging electrical energy, the monstrous contraption seemed fit for a horror || He never came near me all day, and toward night I began to dress for the ball."
balls_mag_1985_432241.txt-96-3_ball_news_1995_641078.txt-228-4,Identical,"Covered with metallic balls for discharging electrical energy, the monstrous contraption seemed fit for a horror || Sacred Heart in-bounded the ball and scored an uncontested layup."
balls_nf_1979_774342.txt-1216-30_ball_mag_2004_413914.txt-69-11,Distantly Related,"The teacher tells his students how poorly they have done on the midterm exam, hands clasped behind him as he shifts back and forth from the heels to the balls of his feet. || That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."
bit_fic_1818_7631.txt-303-79_bit_fic_1998_43216.txt-276-4,Distantly Related,"Doat on her charms, as misers doat on pelf And like Narcissus pines for pretty self, Check her betimes, before too late you find Self love the ruling passion of her mind; Ere she assume those gestures, and grimaces, Which pretty simpletons mistake for graces, Who set themselves up beauties by profession, And think to hold all hearts in their possession, (As boys string bird's eggs on a bit of thread) By charms, which rival goddesses might dread. || I 'm feeling a bit faint from the heat, "" Lady Dustan said."
bit_fic_1823_7248.txt-2489-20_bit_fic_1856_1552.txt-8126-21,Unrelated,"Brother, ' said I, as we stood side by side, again, holding our horses by the bit and throat lash, to steady them, under the movement of the boat -- this is the third time that || who was only thirty-four; and Miss Ellen whispered back, in reply: -- "" She hasn't the slightest bit of shame! """
bit_fic_1823_7248.txt-2489-20_bits_fic_1966_10469.txt-2680-20,Distantly Related,"Brother, ' said I, as we stood side by side, again, holding our horses by the bit and throat lash, to steady them, under the movement of the boat -- this is the third time that || The bitterly cold air had found every loose stitch in Caroline's sweater and now was concentrating on the metal bits of brassiere that touched her skin."
bit_fic_1832_9464.txt-182-10_bit_fic_1848_7193.txt-4338-5,Unrelated,"What hope is there of the quadruped's ever bearing bit or bridle, when even the want of food won't make him docile? || "" Just read me a bit of fresh Court news, will you? """
