annotation_lbl,category,sentence
Chef_fic_1844_3928.txt-1406-9_chef_nf_1838_747482.txt-609-7,Undecidable,"Morrel has received a regiment, and Joliette is Chef d'Escadron of Spahis. || He had an ancestor who was -- chef de cuisine "" of the Vatican, and invented a soupe maigre for his Holiness; and another, who was cook to the Autocratrixof all the Russias."
Chef_fic_1995_39408.txt-349-5_chefs_nf_1977_774125.txt-986-6,Undecidable,""" So, "" the Chef du Village says with a shrug, already scanning down the line. "" || he says, "" how many chefs say for their last great feast they would like things on the order of tripe a la mode de Caen, cassoulet, and breaded pig's feet?"
Chef_mag_1827_553813.txt-226-40_chef_fic_1844_3928.txt-2149-12,Closely Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || "" The young man who, by his decorations, seems a chef de bataillon of the Spahis, "" replied Debray, "" I can not make out."
Chef_mag_1827_553813.txt-226-40_chef_fic_1848_1108.txt-1284-31,Closely Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || But if I was in youa place, and I really wanted to know whe'e them slippas come from -- "" "" I do -- I do indeed -- "" The chef paused before he added, """
Chef_mag_1827_553813.txt-226-40_chef_mag_1835_554346.txt-89-53,Distantly Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || The cardinal being satisfied that the painter was as white as himself, (that being his next inquiry,) received him graciously, examined his face and head, with his fingers, expressed his admiration, and made up a party to witness the impression which the sight of the chef d'muvres of antiquity, would make upon a native of the new world."
Chef_mag_1827_553813.txt-226-40_chef_mag_1836_554393.txt-176-6,Closely Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || He boasted of having been a chef de brigade in the republican armies of France; but, such was his ardor in the cause, that he accepted the humble rank of chef de cuisine in the service of Toledo."
Chef_mag_1827_553813.txt-226-40_chef_nf_2009_774617.txt-77-3,Undecidable,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || For instance, chef Anita Lo's Barbecued Breast of Chicken, Suzanne Goin's Succotash Salad, and Nobu Matsuhisa's Parmesan Baked Small Scallops are unique yet accessible."
Chef_mag_1827_553813.txt-226-40_chefs_fic_1843_7026.txt-1111-34,Distantly Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || Even you, my friend, educated, as you have been, amid the paintings and statues of Europe, you who have wandcred through the Louvre and Vatican, and seen the chefs d'oeuvre of Florence, -- even you, my friend, expressed wonder, when you looked upon him first at P -- d."
Chef_mag_1827_553813.txt-226-40_chefs_fic_1846_544.txt-2808-20,Closely Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || A curious evidence of this was given in a remarkable ceremony in which I frequently saw Mehevi and several other chefs and warriors of note take part; but never a single female."
Chef_mag_1997_428061.txt-153-6_chef_news_1996_625831.txt-58-40,Undecidable,"13 Admiral LATA300AA $440 16 Magic Chef W227L $460 * 44x27x27 in. || A super invitation - Congratulations are in order for Bruce Molzan, the Ruggles Grill chef and owner who has been invited back to the Super Bowl for Taste of the NFL V. Coca-Cola and the NFL invite a top chef and former NFL player to help tackle hunger."
Chef_news_1977_732998.txt-23-0_chef_mag_1995_395507.txt-45-4,Undecidable,"Chef Julia Child often brings along a roast lamb sandwich from home. || He is an executive chef, certified by the American Culinary Federation, and he serves on the board of trustees of the American Culinary Federation Educational Institute."
Circled_fic_1837_8325.txt-1223-14_circled_fic_1973_10569.txt-2907-9,Distantly Related,"Thy pleasant spot of birth Is sad without thee, and an ancient head Circled with years and blessings as a crown Bows low with the first pang thou e'er didst cause A father's bosom. || A new concrete road ran up to it and circled it to rejoin itself and fade away into the dun thistle-strewn hills."
Circled_fic_1853_7455.txt-317-9_circled_mag_1988_339334.txt-17-2,Identical,"So she stood in this Palace of Pleasure, Circled round by the Swans of Delight. || Three tanks circled the square and then drove off."
Circling_fic_1849_2605.txt-638-26_circled_fic_1837_7452.txt-82-4,Undecidable,"I love to see him track the street, With his wary eye and active feet; And I often watch him as he springs, Circling the steeples with easy wings, Till across the dial his shade has pass'd, And the belfry edge is gained at last. ' || And the waves that circled round The eternal mount on high, Bore an everlasting sound To the soul that can not die."
Circling_fic_1849_2605.txt-638-26_circled_fic_1999_44469.txt-1382-4,Undecidable,"I love to see him track the street, With his wary eye and active feet; And I often watch him as he springs, Circling the steeples with easy wings, Till across the dial his shade has pass'd, And the belfry edge is gained at last. ' || One of the shitdogs circled the base, and in the distance I saw another lumbering toward the mountains."
Circling_fic_1852_8028.txt-398-39_circling_fic_1978_10634.txt-2489-8,Distantly Related,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || Otis and Brady approached each other similarly; circling in small, glidingsteps, each moving opposite his opponent's crooked left arm, each one's left elbow down in front of his left ribs, each one's left hand extendedshoulder-high a foot, each one's right hand cocked back below his right cheek ready to attack or defend."
Circling_fic_1854_7839.txt-1328-0_circled_fic_1980_10663.txt-1009-3,Identical,"Circling mountains, purple beaming, Lured his soul to constant dreaming, -- Ever dreaming, ever scheming, -- On and upward was his gaze. || The dahlias limply circled the signpost, like sluggish water round a drain."
Circling_fic_1961_10405.txt-1211-0_circled_fic_1993_1040095.txt-1060-4,Closely Related,"Circling the city, indeed its primary vein of extra-human, by day it thrust the streets back upon their own mortality, miserable or effete. || Once again everyone was circled; and once again everyone was afraid to make the move."
Circling_mag_2002_410849.txt-34-0_circle_fic_1985_780044.txt-621-12,Distantly Related,Circling the globe in slightly different orbits 15 times a || Some deep encoded pattern drew her to her children and made her circle them: her body itself was a divide
Donkey_fic_1852_3726.txt-347-4_donkey_fic_1984_10723.txt-1468-14,Undecidable,"' Call it Stupid Donkey, ' mumbled a voice behind him; and Geoffrey advanced, his mouth as usual full of something besides words. ' || His father told the story of how the farmer had come looking for his donkey and his own remark to the farmer: "" Stay content you have lost a donkey."
Donkey_fic_1987_782034.txt-8660-41_donkey_fic_1984_10723.txt-684-6,Identical,"Well, hell, Marty, "" said Kramer, figuring that, having been a fellow soldier with him in the bullshit skirmish at Reverend Bacon's, he could go on a nickname basis with the dauntless little Irish Donkey, "" the kids || Finally the two men and their donkey vanished over a rise in the street, but she kept watching and finally they appeared again, high above the town of Montelepre, entering the range of mountains that surrounded the town."
Donkey_nf_1843_748690.txt-1049-25_donkey_fic_1993_1040090.txt-4023-11,Undecidable,"CHAPTER IX Badajoz -- Antonio the Gypsy -- Antonio's Proposal -- The Proposal Accepted -- Gypsy Breakfast -- Departure from Badajoz -- The Gypsy Donkey -- Merida -- The Ruined Wall -- The Crone -- The Land of the Moor - - The Black Men -- Life in the Desert -- The Supper. || She heard the gate creak, the whip cracking on the donkey's back."
Donkey_nf_1843_748690.txt-1049-25_donkey_mag_1848_565755.txt-427-5,Undecidable,CHAPTER IX Badajoz -- Antonio the Gypsy -- Antonio's Proposal -- The Proposal Accepted -- Gypsy Breakfast -- Departure from Badajoz -- The Gypsy Donkey -- Merida -- The Ruined Wall -- The Crone -- The Land of the Moor - - The Black Men -- Life in the Desert -- The Supper. || I have had so many donkey frolics that I have almost cease (l laughing at donkey parties.
Donkeys_mag_1853_504777.txt-20-0_donkey_fic_1835_8114.txt-1965-30,Identical,"Donkeys brayed, Mexicans chattered, cocks crew, every horse in the corral, or horse-yard, seemed determined to give us his farewell neigh; and amid the almost stunning din I could with difficulty catch the parting words of our host: "" Good-by; never trouble yourselves about the horses -- but take good || Like the crest of a helmet taught proudly to nod And wave like a meteor's train abroad, Was the long, long tail, that glorified The glorious donkey's hinder side!"
Donkeys_mag_1853_504777.txt-20-0_donkey_fic_1968_13276.txt-831-9,Identical,"Donkeys brayed, Mexicans chattered, cocks crew, every horse in the corral, or horse-yard, seemed determined to give us his farewell neigh; and amid the almost stunning din I could with difficulty catch the parting words of our host: "" Good-by; never trouble yourselves about the horses -- but take good || p. 21 FENG Many nights I ride on my donkey over the mountains and I think of new poems."
Edge_news_2006_604826.txt-2-3_edges_nf_1982_773998.txt-583-9,Undecidable,"At Canaan's Edge: America in the King Years 1965-68 (Simon &; Schuster, $35), the final volume in Branch's monumental series, is out this week. || Put strips to support the bottom inside the lower edges of the sides (Fig."
FICTION_fic_1845_7316.txt-119-9_fictions_mag_1849_565817.txt-102-103,Identical,"VIEWS &; REVIEWS OF AMERICAN HISTORY, LITERATURE &; FICTION. || professions, that they afterwards learn, in some incidental way, from those who met the subject of the memoir in daily life, that he was cold and repulsive to his brethren; that the ardor of his devotion and the spirituality of his conversation and his written reflections, had much to do with an extraordinary nervous excitability, and that the mind, which seemed to rise and soar with an an gel's wing to the comprehension of things eternal and invisible, found its favorite arid constantly demanded stimulus, in tIie reading of extravagant and romantic fictions."
FICTION_fic_1994_54031.txt-0-3_fiction_fic_1849_7230.txt-210-13,Closely Related,"@@16031 Section: FICTION In the dream, I arrive at an airbase somewhere twenty years after having flown an airplane. || The fear would be natural, for it must be admitted that in fiction there is "" no more dangerous wild-fowl "" than your Indian, not even "" your lion. """
Fiction_fic_1832_7054.txt-71-66_fictions_mag_1851_566042.txt-96-20,Closely Related,"The evening isles of love and loveliness Slept in the soothing solitude, wherein The awful intellect of Rome sought peace In grey philosophy while faction poured Its hydra venom, or conspiracy Walked the thronged Forum, dooming, at a glance, The loftiest to extinction; here the bard Unfolded earth's and heaven's mysteries, Creating the world's creed and Fiction's brow Wreathing with the immortal buds of truth. || Still more then must it be impossible to distinguish that element, even if admitted as existing, from the fictions, with which it is mixed and blended."
Fiction_fic_1843_7074.txt-24-28_fiction_nf_1979_773532.txt-706-4,Closely Related,"Let the book pass for what it is worth: if taken for History, it will be thought I had a somewhat remarkable experience, if for Fiction, that I have tolerable Invention; and then my scull will be in the market -- for the booksellers in my lifetime, -- and the Phrenologists afterwards. || Sawyer also wrote award-winning fiction for children, and wrote and collected some of the choice stories being told today."
Fiction_fic_1995_52906.txt-780-16_fictions_nf_1845_771333.txt-565-18,Undecidable,"His novel, Beyond the Veil of Stars, made the New York Review of Science Fiction's Year's Best List. || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
Fiction_mag_1999_407438.txt-17-23_fiction_nf_1829_751465.txt-160-5,Undecidable,"But perverse prizes have become the Cannes norm; there hasn't been a truly popular Palme d'Or winner since 1994's Pulp Fiction. || Though I still retain the fiction of the monkish author Agapida, I have brought my narrative more strictly within historical bounds, have corrected and enriched it in various parts with facts recently brought to light by"
Fiction_mag_2004_385610.txt-94-8_Fiction_fic_2009_36789.txt-198-24,Undecidable,"How has movie culture changed since "" Pulp Fiction ""? || Copyright 2009 by Victoria Christopher Murray Library of Congress subject headings for this publication: Bush, Jasmine Larson (Fictitious character) -- Fiction."
Fiction_news_1980_734517.txt-36-0_fiction_nf_2004_746778.txt-351-4,Closely Related,"Fiction eight: The decision last year to cut off aid to Pakistan, Afghanistan'sneighbor, was justifiable as a measure to prevent Pakistan from developing a nuclear weapon. || Generally, anti-illusionism in fiction and elsewhere is a derivative phenomenon and always presupposes the existence of aesthetic illusion, be it in the same work or as a convention in"
Fiction_news_1980_734517.txt-36-0_fictions_fic_1849_7167.txt-2374-8,Identical,"Fiction eight: The decision last year to cut off aid to Pakistan, Afghanistan'sneighbor, was justifiable as a measure to prevent Pakistan from developing a nuclear weapon. || These facts (let no one consider them fictions) should be well considered by"
Fiction_nf_1998_775165.txt-1-31_fiction_mag_1980_296430.txt-7-1,Closely Related,by Anthony Trollope // Sophie's Choice by William Styron // Henry and Clara by Thomas Mallon // Underworld by Don DeLillo // Lonesome Dove by Larry McMurtry // 10 Non Fiction Books That Help Us Understand the World // The Decline and Fall of the Roman Empire by Gibbons // The Best and the Brightest by David Halberstam // Lenin's Tomb by David Remnick // Lincoln by David Herbert Douglas // Silent Spring by Rachel Carson // In Cold Blood by Truman Capote // How We Die by Sherwin Nuland // The Unredeemed Captive by John Demos // The Second Sex by Simone de Beauvoir // The Power Broker by Robert || while fiction may draw even the most unknowing into its universe.
GAS_mag_1966_431725.txt-150-2_gases_nf_1843_752682.txt-213-40,Undecidable,"CHLORINE NONFLAMMABLE GAS TOXIC Quickly, inspectors from the Chlorine Institute jumped aboard and checked all valves and domes for leaks. || the mere effect of mass, -- the force of gravity, -- gaseous molecules are attracted by solids and adhere to their surfaces; and when to this physical force is added the feeblest chemical affinity, the liquifiable gases can not retain their gaseous state."
Gas_fic_1853_9200.txt-2512-29_gas_nf_1844_755204.txt-629-14,Undecidable,"To which the youth replied by thrusting his tongue into one cheek, closing one eye in an indescribable manner, and repeating, emphatically the monosyllable, "" Gas! "" || There can be little doubt that the infusion of a large dose of this gas into the atmosphere at the present day would be attended by precisely the same circumstances as in the time of the carboniferous formation."
Gas_mag_2001_408078.txt-1033-13_gases_mag_1853_504638.txt-95-19,Undecidable,"The man with the newspaper is the painter's brother, Rene de Gas; and he might well have been reading the timeless plaint the Picayune published that year: "" Taxes! || world-consist to a great extent of a sort of cavernous limestone, which through the presence perhaps of elastic gases pent up within the sub stance of the rock at the time of its formation, or through the action of water flowing for ages through the secret fissures of the strata after the mass was formed, is perforated in many parts with openings and chambers, which, when the entrances to them communicate with the open air, form dens and caves, that become the haunts of wild beasts, and, in some states of society, the cial ends in view-sometimes in the openings of the valleys which communicated with the interior of the country, and sometimes on the shores of the sea."
Gas_mag_2006_384782.txt-3-32_gases_nf_1843_752682.txt-213-40,Undecidable,"Two of the biggest losers: Boston Scientific, which voluntarily recalled thousands of pacemakers and defibrillators, and Anadarko Petroleum, which fell after it agreed to buy Kerr-McGee and Western Gas Resources for more than $21 billion in cash. || the mere effect of mass, -- the force of gravity, -- gaseous molecules are attracted by solids and adhere to their surfaces; and when to this physical force is added the feeblest chemical affinity, the liquifiable gases can not retain their gaseous state."
Gas_nf_1997_773513.txt-409-18_gas_nf_1848_754438.txt-1507-20,Undecidable,"Such large power utilities as Pacific Gas and Electric, Con Ed, and Public Service Electric and Gas each paid their chairmen less than $1 million in 1994. || Porphyry, with basis of pitch-stone, is whitened externally by the slow action of the vapours of sulphurous acid gas."
Grafts_nf_1848_747893.txt-2589-0_grafts_nf_1850_747863.txt-1833-10,Identical,"Grafts often bear some fine clusters the first season of growth, and pretty considerably the second. "" || Cutting off and grafting the top first, gives the grafts there the best possible chance, while the necessary reduction of the top throws the sap into the remaining side branches, which fits them well for"
Grafts_nf_1858_747890.txt-616-0_graft_news_1962_722583.txt-15-13,Unrelated,"Grafts taken - from the upright shoots near the top of the tree are apt to make a vigorous and upright growth, but are more tardy in bearing. || The politicians are dormant, they'll do nothing to clean up the graft, vice, and corruption."
LASS_fic_1989_13956.txt-513-4_lass_fic_1824_7211.txt-1161-4,Closely Related,"DICKON SHE 'S A LASS AND THA ART ' RIGHT, AS NEEDS A SPOT WHERE SHE CAN REST IN. || Hoot, Peggy, lass, "" said he, in an endearing tone, "" dinna be sae flirted."
Landing_nf_1857_753133.txt-293-50_land_fic_2006_27918.txt-381-27,Undecidable,"Dacotah, 12 201 Richmond, 6 207 Monteville, 5 212 Homer, 10 222 Winona, 7 229 Fountain City, 12 241 Mount Vernon, 14 255 Minneiska, 4 259 Alma, 15 274 Wabashaw, 10 284 Nelson's Landing, 3 287 Reed's Landing, 2 289 Foot of Lake Pepin, 2 291 North Pepin, 6 297 Johnstown, 2 299 Lake City, 5 304 Central Point, 2 306 Florence, 3 309 Maiden Rock, 3 312 Westerville, 3 315 Wacouta, 12 327 Red Wing, 6 333 Thing's Landing, 7 340 Diamond bluff, 8 348 Prescott, 13 361 Point Douglass, 1 362 Hastings, 3 365 Grey Cloud, 12 377 Pine Bend, 4 381 Red Rock, 8 389 Kaposia, 3 392 St. Paul, 5 397 The scenery on the upper Mississippi is reputed to be beautiful. || No nation-state could be nuts enough to blow up the world -- and the few barbaric exceptions were Dealt With, if necessary with methods that left land aglow in the dark."
Lass_fic_1974_780164.txt-1015-9_lass_mag_1980_431982.txt-155-14,Unrelated,"After a moment's silence he said, "" Lass, he can not be buried in consecrated ground. || In three years she played about 40 parts, everything from the Salvation Army lass in the Brecht-Weill musical "" Happy End "" to a young lover in "" A Midsummer Night's Dream "" to a decayed ancient in "" The Idiots Karamazov, "" a madcap burlesque by two bright and brash young playwrights, Albert Innaurato and Christopher Durang."
Lass_news_1976_732547.txt-14-10_Lass_mag_1961_268246.txt-9-15,Undecidable,"the Editor: In a recent Op-Ed article, Abraham Lass, a retired high-school principal, recalled with fondness the school system he knew, a system that he says "" rewarded me and my colleagues for what we knew,. || Just now it is nightfall, and a pretty, innocently mischievous girl (Barbara Lass) has arrived at the city's School of Geodetics, ready to enroll."
Lasses_fic_1860_8725.txt-8-2_lass_fic_1999_44468.txt-90-4,Undecidable,"Lads, Lasses, Police, &c.,; &c; Costume BRIAN O'LINN. || "" I am a lass, "" said young Stewart. """
MAXIM_fic_1964_24514.txt-2034-11_maxim_fic_1838_7359.txt-3306-8,Undecidable,"GOLDFINGER 'S RUMPUS ROOM - DAY Four men (CHANCER, MAXIM, LAURENCE and BRAND) sit on an elevated platform as another man -- SOLO -- paces forward. || There is wisdom, princess, in the maxim of thy prophet, and its spirit is found in many of the sayings of truer prophets who went before him, and whose words are familiar to thy royal mother, though I fear they are not to thee; a misfortune wholly to be traced to that misadventure of thine, Piso, in being thrown into the company of the Christian Probus on board the Mediterranean trader."
MaxIm_mag_2004_413046.txt-47-7_maxims_mag_1969_490688.txt-63-10,Undecidable,"Such familiar software names as TheSky, MaxIm DL, and Astronomer's Control Panel are installed on his machines. || Perhaps the answer lies in an acceptance of the twin maxims that money has no nationality and that, as President Kennedy observed, the rising tide lifts all the boats."
Maxim_fic_1969_10521.txt-571-8_Maxim_fic_1982_780034.txt-1897-16,Identical,"Gregory had a chef who had worked at Maxim's in Paris. || Kate turned to Dominique and said graciously, "" Would you like to have dinner at Maxim's or? """
Maxim_fic_1984_780053.txt-4438-0_Maxim_mag_1989_328866.txt-11-14,Undecidable,"Maxim in his fine suit, driving his owner's fine carriage, could feel himself superior to any poor Irishman who had no fine suit, no fine carriage, and no master to provide him with either. || -- A daring Norwegian rescue saves more than 900 aboard the Soviet cruise liner Maxim Gorky."
Maxim_fic_1984_780053.txt-4438-0_maxim_nf_1843_747650.txt-1240-21,Undecidable,"Maxim in his fine suit, driving his owner's fine carriage, could feel himself superior to any poor Irishman who had no fine suit, no fine carriage, and no master to provide him with either. || The several states are not even mentioned by name in any part, as if it was intended to impress the maxim on America, that our freedom and independence arose from our union, and that without it we could never be free or independent."
Maxim_fic_1988_10771.txt-7044-4_maxim_nf_1859_747415.txt-1257-60,Undecidable,"He took her to Maxim's and then regretfully home, and Evgenia was asleep in bed when they got there. || * Unless, therefore, he now attaches more weight to slight physical differences in the discrimination of species than to intellectual and moral characteristics, in direct contravention of the principles so eloquently expounded in the passages just cited, and equally in conflict, as it appears to us, with the spirit and true meaning of the maxim announced in the chapter of his "" Principles of Zoology, "" headed "" Intelligence and Instinct,"
Maxim_fic_2001_14550.txt-786-100_Maxim_mag_1980_480183.txt-130-6,Identical,"Young Fraser was wholly innocent, at the time, of the darker implication of the project, and was promptly stationed at Turku, in the Karelian Isthmus.Young Fraser, like many in those days, believed what he had been told: that the Soviet Union must be stopped in her aggression against tiny Finland, a truth as apparent to him as the fact that Stalingrad had been named for Lenin.He and a young colleague, Truesdale, came to be posted on a low bluff, near the outermost ring of Turku, with an ancient Maxim gun from the Great War, seven crates of rusty ammunition, and a firing radius of 45 degrees. || , screw propeller, rifle, Maxim machine gun, internal combustion engine, tank, airplane, wireless radio, radar, ballistic missile, and nuclear weapon have exercised profound influences on the conduct of war."
Maxim_fic_2001_45565.txt-734-5_maxim_nf_1974_773766.txt-701-28,Undecidable,As is seen onscreen while Maxim pans his camera. || The condition of the navvies illustrated more strikingly than did the lives of any other industrial group at the time the large measure of truth in Owen's maxim.
Maxim_fic_2008_36110.txt-8-26_Maxim_fic_2001_45565.txt-734-5,Undecidable,"Some days when Em ran up to the drawbridge and saw the kid instead of Deke in the old cane chair outside the gatehouse, reading Maxim or Popular Mechanics rather than The New York Times, she was startled to realize that Saturday had come around again. || As is seen onscreen while Maxim pans his camera."
Maxim_mag_1960_311388.txt-12-27_maxim_fic_1836_7350.txt-1634-36,Undecidable,"All this is, more or less, the story of a fellah who once lived in the Cairo slum of Attarine, is now at Chez Maxim's (where Bandleader Azzam himself hit the big time), and adores his girl "" like tomato sauce "" (salsa del pommodore in Azzam's pidgin Italian). || I am not only sure that, in resigning, your nephew will do what best becomes him as a gentleman, but that he will make a fortunate escape from the service of one whose maxim it is to reward none but the mercenary. """
Maxim_mag_1983_298923.txt-2-15_maxim_nf_1824_747685.txt-3087-24,Undecidable,"Not far away, well-heeled tourists tuck into French cuisine at Cardin's elegant new Maxim's de Pkin. || The citizen who serves as a soldier, has for his object the defence of his family and his property; and hence the maxim in states, where the army is composed of citizens, that he who has the most to lose, will make the best soldier."
Maxim_mag_1993_425233.txt-135-7_maxim_mag_1985_331153.txt-6-1,Undecidable,"nest, killing thirteen and capturing two Maxim guns. || That maxim may hearten Ted Kennedy, 53, who is once again casting an"
