annotation_lbl,category,sentence
Pinning_mag_1970_282090.txt-31-0_pinned_fic_2004_29550.txt-193-10,Unrelated,"Pinning down a Barthelme story is obviously a surrealistic experience - rather like trying to explain a Groucho Marx joke to someone who has never heard of Groucho Marx. || Later, the crime might get "" solved, "" pinned on the shooter by a snitch in a plea-out."
Pinning_mag_1970_282090.txt-31-0_pinning_mag_1843_565253.txt-54-6,Unrelated,"Pinning down a Barthelme story is obviously a surrealistic experience - rather like trying to explain a Groucho Marx joke to someone who has never heard of Groucho Marx. || Some are so much afraid of pinning their faith upon authority, and taking opinions upon trust, that they dare not rely on the word of God himself, nor yield belief to evidence which is perfectly conclusive."
Plane_nf_1827_747521.txt-56-0_planes_fic_1999_44827.txt-2454-25,Unrelated,"Plane figures having more than four sides are in general called polygons, and receive other particular names, according to the number of their sides or angles. || They had been making good progress, in spite of their greenness; next day Mr. Fulton was planning to stretch the silk over the planes; it had already been given a preliminary coat of a kind of flexible varnish which was also a part of Mr. Fulton's invention."
Plane_nf_1827_747521.txt-56-0_planes_nf_1972_774227.txt-1121-7,Distantly Related,"Plane figures having more than four sides are in general called polygons, and receive other particular names, according to the number of their sides or angles. || to provide a contrast to the open planes of Christ's nude torso."
Plane_nf_1827_748059.txt-314-33_planes_fic_1999_44827.txt-2454-25,Unrelated,"Oak, old English, young tree, 363 "" old ship timber, "" from old tree, "" medium qualities, "" green, Beech, medium quality, Alder, Plane tree. || They had been making good progress, in spite of their greenness; next day Mr. Fulton was planning to stretch the silk over the planes; it had already been given a preliminary coat of a kind of flexible varnish which was also a part of Mr. Fulton's invention."
Player_mag_1967_218804.txt-16-18_players_mag_1846_524089.txt-294-22,Distantly Related,"He became the first man in history to win unanimous selection as the National League's Most Valuable Player. || A popular Judge, "" says the great Bacon, "" is a deformed thing; and plaudites ' are fitter for players than for magistrates."
Player_news_1993_630359.txt-52-23_player_fic_1843_7155.txt-1334-5,Identical,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || The tresses of the lute player, though black as the bright Persian's ringlets, were as different from them in their nature and disposition as any things can be -- even the most dissimilar -- for they were parted evenly upon her forehead, and flowed down quite uncurled in long and wavy masses, actually resting in loose coils upon the velvet floor-cloth, as she sat near the English girl on a low ottoman, with her back to a great Venetian mirror, which reflected the contour of all her sloping shoulders down nearly to the waist."
Player_news_1993_630359.txt-52-23_player_fic_1845_7170.txt-11079-11,Closely Related,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || She is now, as we judge, a singer and player of the first order, and has many pupils in town"
Player_news_1993_630359.txt-52-23_players_mag_1976_491744.txt-194-5,Distantly Related,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || Frankly, he thought chess players were rather stupid."
Player_news_1993_630359.txt-52-23_players_mag_1997_389166.txt-31-27,Distantly Related,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || She maintains a whippet-thin body (thanks to regular running, even when she's facing 18 hours on a set) and pals around with industry players such as her agent Elaine Goldsmith-Thomas, who gets Roberts $12 million a picture."
Player_news_1993_630359.txt-52-23_players_nf_2008_774810.txt-327-77,Unrelated,"is a worthy followup to 1992's "" Short Fuse Blues, "" which broke Hole stateside with a rave review in Guitar Player magazine. || By focusing resources // and expertise on a single product, a farmer could raise output and lower // costs; instead of buying different technologies for each of several crops or // animals, he now spread the costs of a single set of technologies -- for raising // corn, for example, or wheat -- over more bushels // To be sure, a more rationalized agriculture was far more reliant on // outside players."
Players_news_1998_615330.txt-27-16_player_fic_1844_7114.txt-1647-20,Distantly Related,", they were attracted to being a part of a community with Georgia's only Tournament Players Club, a PGA Tour-managed facility. "" || he said in an even tone that was singularly marked amid the buzz of those around him; for each player had now got to feel the affair to be his own, and to take an absorbing interest in every step that should now be taken."
Prop_news_1994_606785.txt-34-3_PROPS_mag_2003_416114.txt-82-0,Unrelated,One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || PROPS: A little extra beef in the flex eliminates tip and tail flop.
Prop_news_1994_606785.txt-34-3_props_fic_1831_8376.txt-2883-3,Unrelated,"One can oppose Prop 187 and still be sympathetic to the point that those minority voters made. || Where the pillared props of heaven Glitter with eternal snows, Where no darkling clouds are driven, Where no fountain flows -- Far above the rolling thunder, When the surging storm Rent its sulphury folds asunder, We beheld thy form."
Prop_news_1994_620111.txt-57-24_props_fic_1831_8376.txt-2883-3,Unrelated,"All of the potential board presidents -- Supervisors Migden, Shelley, Conroy, Leal and candidate Tom Ammiano -- are strong supporters of Prop. || Where the pillared props of heaven Glitter with eternal snows, Where no darkling clouds are driven, Where no fountain flows -- Far above the rolling thunder, When the surging storm Rent its sulphury folds asunder, We beheld thy form."
RAG_fic_2002_14169.txt-131-104_rag_fic_1995_53078.txt-281-6,Unrelated,"ENSEMBLE THERE 'S SOMETHIN ' HAPPENIN ' IN DIXIEI 'M FROM DIXIE SO I KNOWWE GOT A RAG WE CALL "" THE FIG TREE "" FOR THAT BIG TREE THAT WE GROWAND WHEN WE 'RE HOPPIN ' ON THE BAYOUI DEFY YOU TO BE STILLGET YOU A RAGGY TUNEGET YOU A CAJUN MOONGET YOU A JACK OR A JILL COME ON ALONGWE 'RE GON NA DO THE FIG TREE RAGYOUR BODY GON NA ZIG AND ZAGTAKE A LOOK ATEV'RY CHAP AND EV'RY CHIPPY ALL ALONG THE MISSISSIPPIDOIN ' THE DANCETHEY 'RE DANCIN ' TO THE FIG TREE RAGI WAN NA DO THE FIG TREE RAG || One hardly thinks of the local rag as a representative of the media at large. """
RAG_fic_2002_14169.txt-131-104_rags_fic_1981_10676.txt-2847-16,Unrelated,"ENSEMBLE THERE 'S SOMETHIN ' HAPPENIN ' IN DIXIEI 'M FROM DIXIE SO I KNOWWE GOT A RAG WE CALL "" THE FIG TREE "" FOR THAT BIG TREE THAT WE GROWAND WHEN WE 'RE HOPPIN ' ON THE BAYOUI DEFY YOU TO BE STILLGET YOU A RAGGY TUNEGET YOU A CAJUN MOONGET YOU A JACK OR A JILL COME ON ALONGWE 'RE GON NA DO THE FIG TREE RAGYOUR BODY GON NA ZIG AND ZAGTAKE A LOOK ATEV'RY CHAP AND EV'RY CHIPPY ALL ALONG THE MISSISSIPPIDOIN ' THE DANCETHEY 'RE DANCIN ' TO THE FIG TREE RAGI WAN NA DO THE FIG TREE RAG || The room we stood in faced a black tenement, a backyard full of boards, rags, trash, debris, buildings that looked as if they'd been struck by a series of bombings."
Rags_fic_1843_7208.txt-513-8_rag_fic_1853_9069.txt-676-40,Unrelated,"Come, fork over the solid, Old Rags, "" said the boatman, with a loud laugh, and turning with a quizzical leer to a group of captains, and sloop-boys that had gathered to see the fun. "" || He had a shining, bulbous forehead, rather scantily thatched with blades of hair; his face, small, meagre, and yet vulgar, was adorned with a pair of short, rusty whiskers, and a rag of a moustache; in all respects not what one would call a face eminently prepossessing."
Record_news_1997_602155.txt-31-13_record_mag_1979_485611.txt-260-19,Identical,"Columbus (Ohio) Quest Head coach: Brian Agler (31-9) Record last season: 31-9 Returning players: 6 Returning starters: 4 Probable starters F: Andrea Lloyd, 6-2 (Texas ' 87) F: Katie Smith, 5-11 (Ohio State ' 96) C: Valerie Still, 6-1 (Kentucky ' 83) G: Shannon Johnson, 5-8 (S. Carolina ' 96) G: Tonya Edwards, 5-10 (Tennessee ' 96) Players to watch: Smith and Edwards are returning all-stars, and Still was the championship series MVP. || We can only hope that despite the drought and despite the three-way race, and despite the uninspiring Janata record, the people in the countryside and."
Record_news_1997_602155.txt-31-13_record_mag_2006_112391.txt-44-14,Identical,"Columbus (Ohio) Quest Head coach: Brian Agler (31-9) Record last season: 31-9 Returning players: 6 Returning starters: 4 Probable starters F: Andrea Lloyd, 6-2 (Texas ' 87) F: Katie Smith, 5-11 (Ohio State ' 96) C: Valerie Still, 6-1 (Kentucky ' 83) G: Shannon Johnson, 5-8 (S. Carolina ' 96) G: Tonya Edwards, 5-10 (Tennessee ' 96) Players to watch: Smith and Edwards are returning all-stars, and Still was the championship series MVP. || His rotation's 4.32 ERA was nearly a full run better than the franchise record (5.19, in 1995), and the quartet of Jason Jennings, Aaron Cook, Jeff Francis and Josh Fogg had yet to miss a start."
STROKES_fic_1970_16315.txt-3855-6_strokes_fic_1974_10580.txt-7446-30,Unrelated,"LOVELY MUSIC BEGINS WEAKLY, SHE STROKES HIS FACE IN RESPONSE. || Standing in the room, one looked past the place of libation, winking with reflected firelight and candlelight, out into the cold rain that marched in slanting pencil strokes across the lawn and pelted the windows, and one felt as snug and warm and safe as if one were in the cabin of some stout ship at sea."
Stabs_fic_1980_10664.txt-5180-5_stab_news_2001_661942.txt-5-14,Unrelated,"Sure, I had felt Stabs of Envy (as any other Mortal Soul bath done), but always I seem'd to know that all the divers Destinies ofp284Humankind have their own Pains as well as their own Pleasures, and e'en the Greatest Lord who suffers no pecuniary Want, may be tormented with the Gout, or Devastation at the Loss of Love, and feel his Suff'rings as keenly as the poor Gin-soakt Beggar. || Imelys Samsores, 19, born of Mexican and Cuban parents, takes a stab at the question while batting away unruly red, green and white balloons - the colors of Mexico's flag - at a windy multicultural festival outside Miami. """
Stabs_fic_1980_10664.txt-5180-5_stabs_fic_1992_53581.txt-7-8,Unrelated,"Sure, I had felt Stabs of Envy (as any other Mortal Soul bath done), but always I seem'd to know that all the divers Destinies ofp284Humankind have their own Pains as well as their own Pleasures, and e'en the Greatest Lord who suffers no pecuniary Want, may be tormented with the Gout, or Devastation at the Loss of Love, and feel his Suff'rings as keenly as the poor Gin-soakt Beggar. || My father listened, but after a few stabs at advice ("" You shouldn't be so concerned about the guy, just yourself ""), he adopted a pose which I thought of as his film noir self: wrist cocked"
Stroke_fic_1853_9158.txt-3583-0_stroke_fic_1996_41962.txt-293-2,Unrelated,"Stroke after stroke the heavy bells rang midnight, and it seemed, to each of those excited minds, as though an age elapsed between each || You must stroke an animal as lightly as you'd stroke a hummingbird."
Stroking_fic_1854_8328.txt-914-51_stroke_fic_2001_31325.txt-227-15,Identical,"Twice, Baron, has the tedious night Been reddened by our watch-fires bright; Twice has the morning sunbeam found Our force afoot on hostile ground, And nothing in the shape of foe Has brandished axe, or bended bow "" -- Murmured De Nonville, in disdain, Stroking his courser's flowing mane. "" || As if she had conjured it, Cam reached for her wrist and began to stroke it with his thumb."
THUMP_fic_1987_16030.txt-1482-16_thumping_fic_1981_10679.txt-5299-2,Identical,HUNTER 'S SHIP - NIGHT (DUSK) Hawkins ' BODY impacts the floor with a THUMP. || The heavy thumping of his boots echoed along the walls.
TIPPED_fic_1991_16780.txt-3914-8_tip_fic_1838_7250.txt-1578-20,Undecidable,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || -- the assault irresistible, -- "" how would you like to go it in uncle Billy Shakspeare, and tip the natives the last hagony in the tragics? """
TIPPED_fic_1991_16780.txt-3914-8_tipped_fic_1843_7116.txt-400-18,Unrelated,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || -- The moon was in its western field, white and clear as silver, with which it tipped the bursting waves."
TIPPED_fic_1991_16780.txt-3914-8_tipping_fic_1824_7277.txt-826-67,Unrelated,"SCENE 64 - MCS PAST A WOMAN, TIPPED IN L.FG. || He was of a middling stature, inclining to corpulency; with a sanguine complexion, a low forehead deeply shaded with bushy black hair, that absolutely refused to conform to the sleekness of his order; a keen gray eye, which had a peculiarly cunning expression from a trick he had early acquired, and of which he could never rid himself, of tipping a knowing wink; a short thick nose turning upward; a wide mouth, with the corners sanctimoniously drawn down, and a prominent fat chin following the direction of his nose."
TIPPED_news_1967_726294.txt-24-0_tip_fic_1851_746.txt-4519-42,Unrelated,"TIPPED BY A CABBIE To THE EDITOR: I hasten to correct a wrong impression that the letter of John Rentauk might have left. || vast swells of the omnipotent sea; the surging, hollow roar they made, as they rolled along the eight gunwales, like gigantic bowls in a boundless bowling-green; the brief suspended agony of the boat, as it would tip for an instant on the knife-like edge of the sharper waves, that almost seemed threatening to cut it in two; the sudden profound dip into the watery glens and hollows; the keen spurrings and goadings to gain the top of the opposite hill; the headlong, sled-like slide down its other side; -- all these, with the cries of the headsmen and harpooneers, and the shuddering gasps of the oarsmen, with the wondrous sight of the ivory Pequod bearing down upon her boats with outstretched sails, like a wild hen after her screaming brood; -- all this was thrilling."
TIPPED_news_1967_726294.txt-24-0_tipped_fic_1844_7187.txt-489-25,Unrelated,"TIPPED BY A CABBIE To THE EDITOR: I hasten to correct a wrong impression that the letter of John Rentauk might have left. || "" And here I've lived and wrought for near five years, until Captain Tracy, and a likely boy he is too, tipped me the wink, and then I followed him to the wars, and maybe I haven't been a bad thorn in the side of the Britishers? """
TIPPED_news_1967_726294.txt-24-0_tipped_fic_1850_7953.txt-1479-29,Unrelated,"TIPPED BY A CABBIE To THE EDITOR: I hasten to correct a wrong impression that the letter of John Rentauk might have left. || Of my pearls, coming down, I will form thee a crown, To encircle thy brow young and fair; Every leaf on thy stem Shall be tipped with a gem, Every bud sparkling diamonds shall wear."
TIPPING_mag_2006_398384.txt-314-7_tip_fic_1838_7250.txt-1578-20,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || -- the assault irresistible, -- "" how would you like to go it in uncle Billy Shakspeare, and tip the natives the last hagony in the tragics? """
TIPPING_mag_2006_398384.txt-314-7_tipped_fic_1819_8009.txt-1059-48,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || Thus -- thus the ravisher went forth; Like meteors o'er the cloudy north: Thus -- thus the desperate boy went down, In splendour o'er the mountain's brown: His vestment streaming far behind, And glittering in the rushing wind: His dancing plumage tipped with light, Like eaglets in their loftiest flight -- As now he darted on the sight, And met the sun's last rays: -- Now hidden in the forest shade -- Emerging now -- and now betrayed By plumes that in the sunset played; And robe that seemed to blaze!"
TIPPING_mag_2006_398384.txt-314-7_tipped_fic_1843_7116.txt-400-18,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || -- The moon was in its western field, white and clear as silver, with which it tipped the bursting waves."
TIPPING_mag_2006_398384.txt-314-7_tipped_fic_1846_7036.txt-2226-29,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || She treasured up all the old traditions, and though she repeated them truly, they came from her mouth in brighter pictures than from others, because she tipped all the edges with her own golden fancy."
TIPPING_mag_2006_398384.txt-314-7_tipped_fic_1851_746.txt-9276-19,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || The parted mouth of Tashtego revealed his shark-white teeth, which strangely gleamed as if they too had been tipped by corpusants; while lit up by the preternatural light,"
TIPPING_mag_2006_398384.txt-314-7_tipped_fic_1975_780110.txt-1409-15,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || It was an arrow of the old days, feathered with red hawk tail and tipped with chipped quartz."
TIPPING_mag_2006_398384.txt-314-7_tipping_fic_1835_5605.txt-2415-40,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || It is then, when the "" grim-visaged "" ocean has "" smoothed his wrinkled front, "" -- when the winds of heaven are hushed to gentle airs, and the cloudless moon looks down upon the scene, tipping the crests of the lazy waves with silver, -- that the memory and imagination of the wanderer are busy; it is then that the scenes of childhood and of manhood -- the forms of friends, more loved because sundered from them by thousands of miles of water and land -- all rise before him in original freshness and beauty."
TIPPING_mag_2006_398384.txt-314-7_tipping_fic_1853_3465.txt-1988-14,Closely Related,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || Well, I went back with the beer, and just as Bridget was tipping the glass up to her thick lips, Jim bounded behind her like a panther, and held her arms tight while I took little Biddy and scampered into the house."
TIPPING_mag_2006_398384.txt-314-7_tips_fic_1859_270.txt-401-88,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || coffee-bean, - When lawyers take what they would give, And doctors give what they would take, - When city fathers eat to live, Save when they fast for conscience ' sake, - When one that hath a horse on sale Shall bring his merit to the proof, Without a lie for every nail That holds the iron on the hoof, - When in the usual place for rips Our gloves are stitched with special care, And guarded well the whalebone tips Where first umbrellas need repair, - When Cuba's weeds have quite forgot The power of suction to resist, And claret-bottles harber not Such dimples as would hold your fist, - When publishers no longer steal, And pay for what they stole before, - When the first locomotive's wheel Rolls through the Hoosac tunnel's bore; - TILL then let Cumming a blaze away, And Miller's saints blow up the globe; But when you see that blessed day, THEN order your ascension robe!"
TIPPING_mag_2006_398384.txt-314-7_tips_mag_1997_398795.txt-20-8,Unrelated,"LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast. || Whichever tether you choose, keep these safety tips in mind: To avoid the risk of strangulation, never leave your child unattended when he's wearing the contraption."
TIPS_fic_2005_780520.txt-572-10_Tip_mag_1999_403996.txt-20-0,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || Tip: Some riders like to tilt the nose of the saddle down slightly (1-2 degrees) to avoid numbness in the nether regions."
TIPS_fic_2005_780520.txt-572-10_Tip_news_2004_635173.txt-48-0,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || Tip: If you want to avoid the weekend lines, try to get to Rip's before 7 p.m."
TIPS_fic_2005_780520.txt-572-10_tip_fic_1838_7250.txt-1578-20,Distantly Related,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || -- the assault irresistible, -- "" how would you like to go it in uncle Billy Shakspeare, and tip the natives the last hagony in the tragics? """
TIPS_fic_2005_780520.txt-572-10_tip_fic_1838_7250.txt-1616-53,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || It's smashing work, but it won't do for you, Spooney; you're little, black-muzzled, queer in the legs, and have got a cold; nature and sleeping with the windows open have done wonders in making you fit for the hintellectuals, and you shall tip ' em the sentimental in Hamlet. """
TIPS_fic_2005_780520.txt-572-10_tipped_fic_1839_7067.txt-1486-47,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || At early dawn, the day following Clifton's receipt of the challenge, a row-boat with two oarsmen and five passengers might be observed moving over the placid surface of the noble river, towards this picturesque and secluded spot; and just as the sunbeams tipped the summit of the mountains, the party disembarked; and Clifton, Ellingbourne, Matthison, Shafton, and the surgeon proceeded to the execution of their hostile purpose."
TIPS_fic_2005_780520.txt-572-10_tipped_fic_1843_7116.txt-400-18,Closely Related,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || -- The moon was in its western field, white and clear as silver, with which it tipped the bursting waves."
TIPS_fic_2005_780520.txt-572-10_tipped_fic_1849_8065.txt-361-27,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || His jests, unlike some jests that we might name, Had nothing in them of a mouldy savor; But fresh, and apt, and tipped with point they came, To put grim Melancholy out of favor; To drive Imposture to his den of shame, To scourge Pretence, and make true Merit braver: So that you granted, after you had laughed, Though Wit had feathered, Truth had barbed the shaft."
TIPS_fic_2005_780520.txt-572-10_tipped_fic_1853_3465.txt-428-7,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || and many's the time he's tipped Aunt Fanny's venerable nose with indigo."
TIPS_fic_2005_780520.txt-572-10_tips_fic_1859_270.txt-401-88,Unrelated,"INSERT CUT: Young bruce on Thomas's shoulders- thomas TIPS back, threatening to drop Young bruce who LAUGHS and LAUGHS. || coffee-bean, - When lawyers take what they would give, And doctors give what they would take, - When city fathers eat to live, Save when they fast for conscience ' sake, - When one that hath a horse on sale Shall bring his merit to the proof, Without a lie for every nail That holds the iron on the hoof, - When in the usual place for rips Our gloves are stitched with special care, And guarded well the whalebone tips Where first umbrellas need repair, - When Cuba's weeds have quite forgot The power of suction to resist, And claret-bottles harber not Such dimples as would hold your fist, - When publishers no longer steal, And pay for what they stole before, - When the first locomotive's wheel Rolls through the Hoosac tunnel's bore; - TILL then let Cumming a blaze away, And Miller's saints blow up the globe; But when you see that blessed day, THEN order your ascension robe!"
TIPS_mag_1999_407855.txt-38-23_tip_mag_1961_442000.txt-637-1,Unrelated,"muscles worked: buttocks, quadriceps and hamstrings sports applications: in-line skating, hiking, rock climbing, rowing, bicycling TRAINING TIPS * Inhale as you squat. || You tip him and put the luggage in a taxi and drive a few blocks to your hotel."
TIPS_mag_1999_407855.txt-38-23_tipped_fic_1846_7036.txt-2226-29,Unrelated,"muscles worked: buttocks, quadriceps and hamstrings sports applications: in-line skating, hiking, rock climbing, rowing, bicycling TRAINING TIPS * Inhale as you squat. || She treasured up all the old traditions, and though she repeated them truly, they came from her mouth in brighter pictures than from others, because she tipped all the edges with her own golden fancy."
